,x,y,t
0,1,1.0466081395284483,3.374797821044922
1,2,1.0466081395284483,6.031944751739502
2,3,1.0466081395284483,8.584930896759033
3,4,1.0466081395284483,11.111384630203247
4,5,1.0466081395284483,13.60201644897461
5,6,1.0466081395284483,16.162943840026855
6,7,1.0466081395284483,18.691766023635864
7,8,1.0466081395284483,21.436411142349243
8,9,1.0466081395284483,24.057212829589844
9,10,1.0466081395284483,26.791340827941895
10,11,1.0466081395284483,881.3655242919922
11,12,1.0466081395284483,1767.4919412136078
12,13,1.0466081395284483,2605.924416542053
13,14,1.0466081395284483,3632.2262761592865
14,15,1.0466081395284483,4544.842353343964
15,16,1.0620861202515446,5354.583015918732
16,17,1.0620861202515446,6230.326532125473
17,18,1.0620861202515446,7056.654455661774
18,19,1.0620861202515446,7852.270681381226
19,20,1.0620861202515446,8769.16150021553
20,21,1.0620861202515446,9655.69353556633
21,22,1.0620861202515446,10524.810362577438
22,23,1.20589670400091,11448.030849218369
23,24,1.20589670400091,12189.082471132278
24,25,1.20589670400091,12955.282515764236
25,26,1.20589670400091,13875.394675731659
26,27,1.20589670400091,14822.438606023788
27,28,1.20589670400091,15542.538425207138
28,29,1.20589670400091,16268.991002559662
29,30,1.20589670400091,16997.734222888947
30,31,1.20589670400091,17724.278463363647
31,32,1.20589670400091,18449.81008553505
32,33,1.20589670400091,19171.810577869415
33,34,1.3245029021485908,19955.794431447983
34,35,1.3245029021485908,20685.449301481247
35,36,1.3245029021485908,21410.170414686203
36,37,1.3245029021485908,22140.238166332245
37,38,1.3245029021485908,23000.062715530396
38,39,1.3245029021485908,23859.548390865326
39,40,1.3245029021485908,24720.886621952057
40,41,1.3245029021485908,25573.39441204071
41,42,1.3245029021485908,26397.04503250122
42,43,1.3245029021485908,27258.538801193237
43,44,1.3245029021485908,28121.334374189377
44,45,1.3245029021485908,28985.818393945694
45,46,1.3245029021485908,29848.866599082947
46,47,1.3245029021485908,30723.358457803726
47,48,1.3245029021485908,31574.506391763687
48,49,1.3506963536123522,32437.07087779045
49,50,1.3506963536123522,33293.64241886139
