,x,y,t
0,1,-161.47770595932715,0.0005555152893066406
1,2,-161.47770595932715,0.0006325244903564453
2,3,-161.47770595932715,0.0007009506225585938
3,4,-161.47770595932715,0.0009648799896240234
4,5,-161.47770595932715,0.0010335445404052734
5,6,-161.47770595932715,0.0011005401611328125
6,7,-152.33972660473108,0.0013599395751953125
7,8,-152.33972660473108,0.0014278888702392578
8,9,-152.33972660473108,0.0014939308166503906
9,10,-152.33972660473108,0.0017514228820800781
10,11,-152.33972660473108,0.0018184185028076172
11,12,-152.33972660473108,0.0018839836120605469
12,13,-152.33972660473108,66.39626836776733
13,14,-152.33972660473108,66.39658689498901
14,15,-152.33972660473108,66.39690089225769
15,16,-152.33972660473108,66.39720892906189
16,17,-124.48700598047526,66.3975179195404
17,18,-124.48700598047526,66.39782905578613
18,19,-124.48700598047526,66.39813351631165
19,20,-124.48700598047526,66.39844107627869
20,21,-120.60069133324596,66.39878988265991
21,22,-120.60069133324596,66.39913511276245
22,23,-120.60069133324596,132.56118440628052
23,24,-120.60069133324596,132.5615484714508
24,25,-120.60069133324596,132.56188869476318
25,26,-120.60069133324596,132.5622296333313
26,27,-120.60069133324596,132.56256699562073
27,28,-117.54163324793193,132.56290411949158
28,29,-117.54163324793193,132.5632393360138
29,30,-117.54163324793193,132.56358170509338
30,31,-117.54163324793193,132.5638930797577
31,32,-117.54163324793193,132.56423377990723
32,33,-101.60353535134179,199.6808216571808
33,34,-101.60353535134179,199.68119287490845
34,35,-101.60353535134179,199.68153643608093
35,36,-101.60353535134179,199.68187427520752
36,37,-101.60353535134179,199.68218326568604
37,38,-101.60353535134179,199.68251943588257
38,39,-101.60353535134179,199.68282747268677
39,40,-101.60353535134179,199.6831624507904
40,41,-101.60353535134179,199.68346881866455
41,42,-101.60353535134179,199.68380784988403
42,43,-101.60353535134179,270.18853545188904
43,44,-101.60353535134179,270.1888997554779
44,45,-101.60353535134179,270.1892158985138
45,46,-101.60353535134179,270.1895580291748
46,47,-101.60353535134179,270.1898980140686
47,48,-101.60353535134179,270.1902370452881
48,49,-101.60353535134179,270.1905725002289
49,50,-101.60353535134179,270.1909062862396
50,51,-101.60353535134179,270.1932485103607
51,52,-101.60353535134179,270.1935679912567
52,53,-101.60353535134179,347.23598647117615
53,54,-101.60353535134179,347.2363111972809
54,55,-101.60353535134179,347.2366645336151
55,56,-101.60353535134179,347.237007856369
56,57,-101.60353535134179,347.23732328414917
57,58,-101.60353535134179,347.2376654148102
58,59,-101.60353535134179,347.23797512054443
59,60,-101.60353535134179,347.23830938339233
60,61,-101.60353535134179,347.2386426925659
61,62,-101.60353535134179,347.23895382881165
62,63,-101.60353535134179,424.2674868106842
63,64,-101.60353535134179,424.2678647041321
64,65,-101.60353535134179,424.2682693004608
65,66,-101.60353535134179,424.2686324119568
66,67,-101.60353535134179,424.26899814605713
67,68,-101.60353535134179,424.2693929672241
68,69,-101.60353535134179,424.26975774765015
69,70,-101.60353535134179,424.27014327049255
70,71,-101.60353535134179,424.2705047130585
71,72,-101.60353535134179,424.27089643478394
72,73,-101.07261420215062,507.2434482574463
73,74,-101.07261420215062,507.2438726425171
74,75,-101.07261420215062,507.2442708015442
75,76,-101.07261420215062,507.24463534355164
76,77,-99.49276003217443,507.24499797821045
77,78,-99.49276003217443,507.2453875541687
78,79,-99.49276003217443,507.2457506656647
79,80,-99.49276003217443,507.2461380958557
80,81,-99.49276003217443,507.2465260028839
81,82,-50.181346851300574,507.246915102005
82,83,-50.181346851300574,589.3092050552368
83,84,-50.181346851300574,589.3095886707306
84,85,-50.181346851300574,589.3100025653839
85,86,-50.181346851300574,589.3103721141815
86,87,-50.181346851300574,589.3107714653015
87,88,-50.181346851300574,589.3111698627472
88,89,-50.181346851300574,589.3115758895874
89,90,-50.181346851300574,589.3119714260101
90,91,-50.181346851300574,589.3123693466187
91,92,-50.181346851300574,589.3127431869507
92,93,-50.181346851300574,671.8466930389404
93,94,-50.181346851300574,671.8470687866211
94,95,-50.181346851300574,671.8474822044373
95,96,-50.181346851300574,671.8478980064392
96,97,-50.181346851300574,671.8482885360718
97,98,-50.181346851300574,671.8486776351929
98,99,-50.181346851300574,671.8490688800812
