,x,y,t
0,1,-17.582761664945004,0.005991935729980469
1,2,-17.582761664945004,0.029311656951904297
2,3,-17.144198822673946,77.82085990905762
3,4,-17.144198822673946,193.65512800216675
4,5,-17.144198822673946,344.907372713089
5,6,-17.0494411616988,514.7730705738068
6,7,-17.0494411616988,649.3289604187012
7,8,-13.03301499836963,771.0331106185913
8,9,-13.03301499836963,932.2289435863495
9,10,-12.964848564488015,1452.4117515087128
10,11,-12.964848564488015,1736.8738369941711
11,12,-12.964848564488015,1915.5167090892792
12,13,-12.964848564488015,1988.372995376587
13,14,-12.294829519402949,2066.074798822403
14,15,-12.294829519402949,2100.4874415397644
15,16,-12.138214268004095,2131.6603581905365
16,17,-11.115992164867329,2168.9797353744507
17,18,-10.645233211142966,2316.5409591197968
18,19,-10.55578405650403,2341.6689953804016
19,20,-9.769319113164654,2365.9193477630615
20,21,-9.769319113164654,2423.3658876419067
21,22,-9.769319113164654,2428.4347512722015
22,23,-9.769319113164654,2432.039035797119
23,24,-9.651598906396735,2726.6741814613342
24,25,-9.651598906396735,2746.721419095993
25,26,-9.651598906396735,2770.1191647052765
26,27,-9.651598906396735,2987.735690832138
27,28,-9.651598906396735,3330.5680038928986
28,29,-9.437716199639006,3622.45894575119
29,30,-9.437716199639006,3652.1615369319916
30,31,-9.437716199639006,3657.724851846695
31,32,-9.437716199639006,3663.047338485718
32,33,-9.437716199639006,4226.896861076355
33,34,-9.437716199639006,4792.537687540054
34,35,-9.437716199639006,5228.684137105942
35,36,-9.437716199639006,5959.949383020401
36,37,-9.0178304431808,6363.198957443237
37,38,-9.0178304431808,6664.461053133011
38,39,-9.0178304431808,7279.408372163773
39,40,-9.0178304431808,8341.396318912506
40,41,-9.0178304431808,8377.089740991592
41,42,-9.0178304431808,8932.850892782211
42,43,-9.0178304431808,9080.18654537201
43,44,-9.0178304431808,9300.015409946442
44,45,-9.0178304431808,9358.950277805328
45,46,-9.005326068665548,9820.657236337662
46,47,-9.005326068665548,10344.772224664688
47,48,-9.005326068665548,10549.837188482285
48,49,-8.94137776855395,10938.181207180023
49,50,-8.94137776855395,11697.86127114296
50,51,-8.94137776855395,12598.938065290451
51,52,-8.94137776855395,12868.67487168312
52,53,-8.94137776855395,13619.998923778534
53,54,-8.94137776855395,14592.22678732872
54,55,-8.94137776855395,14619.221368312836
55,56,-8.94137776855395,15349.066915512085
56,57,-8.94137776855395,15960.386824131012
57,58,-8.94137776855395,16083.94191122055
58,59,-8.94137776855395,16152.13931298256
59,60,-8.94137776855395,16390.046971797943
60,61,-8.94137776855395,16399.1054084301
61,62,-8.94137776855395,16900.100211143494
62,63,-8.94137776855395,17142.07339000702
63,64,-8.94137776855395,17148.955649137497
64,65,-8.94137776855395,17829.13108921051
65,66,-8.94137776855395,18052.26124191284
66,67,-8.94137776855395,18378.830751419067
67,68,-8.94137776855395,18412.08226132393
68,69,-8.94137776855395,18478.38317966461
69,70,-8.94137776855395,18552.557200670242
70,71,-8.94137776855395,19224.139842510223
71,72,-8.94137776855395,19312.579154014587
72,73,-8.94137776855395,19319.009449005127
73,74,-8.94137776855395,19349.22136425972
74,75,-8.94137776855395,19359.91195845604
75,76,-8.94137776855395,19850.367037296295
76,77,-8.94137776855395,20882.222015857697
77,78,-8.94137776855395,21119.889491796494
78,79,-8.94137776855395,21957.63336801529
79,80,-8.94137776855395,22008.43742108345
80,81,-8.769511148146856,23531.05114722252
81,82,-8.769511148146856,24088.098393440247
82,83,-8.769511148146856,24614.27738595009
83,84,-8.769511148146856,24997.31642985344
84,85,-8.769511148146856,25541.62767314911
85,86,-8.769511148146856,26091.094903230667
86,87,-8.769511148146856,26102.26698946953
87,88,-8.769511148146856,26112.14707660675
88,89,-8.769511148146856,26125.028574943542
89,90,-8.769511148146856,26412.21215891838
90,91,-8.769511148146856,26423.071853399277
91,92,-8.769511148146856,26435.303043842316
92,93,-8.769511148146856,26461.655162096024
93,94,-8.769511148146856,26471.740295410156
94,95,-8.769511148146856,26724.446197986603
95,96,-8.769511148146856,27160.57936644554
96,97,-8.769511148146856,27226.41228747368
97,98,-8.769511148146856,27256.395216941833
98,99,-8.769511148146856,27423.717547655106
99,100,-8.769511148146856,27837.981609344482
