,x,y,t
0,1,-417.97181022337884,0.024184226989746094
1,2,-363.20558901951506,0.11269187927246094
2,3,-363.20558901951506,0.19218683242797852
3,4,-363.20558901951506,0.2804403305053711
4,5,-363.20558901951506,0.3842012882232666
5,6,-363.20558901951506,0.48789143562316895
6,7,-363.20558901951506,0.5942964553833008
7,8,-363.20558901951506,0.7042648792266846
8,9,-363.20558901951506,256.5648202896118
9,10,-363.20558901951506,497.29676389694214
10,11,-363.20558901951506,602.0132417678833
11,12,-320.52639707831946,863.9287557601929
12,13,-320.52639707831946,1002.2076098918915
13,14,-320.52639707831946,1210.3751702308655
14,15,-249.3650878007398,1300.2531538009644
15,16,-249.3650878007398,1543.1514270305634
16,17,-249.3650878007398,1810.7403836250305
17,18,-249.3650878007398,2084.094200372696
18,19,-249.3650878007398,2182.393214225769
19,20,-249.3650878007398,2577.1260867118835
20,21,-249.3650878007398,3355.445471763611
21,22,-249.3650878007398,3589.8852984905243
22,23,-249.3650878007398,3872.457938194275
23,24,-249.3650878007398,4673.2472813129425
24,25,-249.3650878007398,5480.345250606537
25,26,-249.3650878007398,5789.677317142487
26,27,-249.3650878007398,6042.75751543045
27,28,-249.3650878007398,6395.3775136470795
28,29,-249.3650878007398,6907.6075603961945
29,30,-249.3650878007398,7385.14121556282
30,31,-249.3650878007398,7681.654918909073
31,32,-249.3650878007398,7869.405734539032
32,33,-249.3650878007398,8519.873953342438
33,34,-249.3650878007398,9052.701922655106
34,35,-249.3650878007398,9399.221117973328
35,36,-249.3650878007398,9621.537577152252
36,37,-249.3650878007398,10547.915564537048
37,38,-249.3650878007398,11038.497735500336
38,39,-249.3650878007398,11662.57779788971
39,40,-249.3650878007398,11959.4243350029
40,41,-249.3650878007398,13148.033651590347
41,42,-249.3650878007398,13451.26993560791
42,43,-249.3650878007398,13795.269916057587
43,44,-249.3650878007398,14196.061973571777
44,45,-249.3650878007398,14942.226345539093
45,46,-249.3650878007398,15484.106135606766
46,47,-240.39496138930934,16213.297933340073
47,48,-240.39496138930934,16319.706141233444
48,49,-240.39496138930934,17008.670387983322
49,50,-240.39496138930934,17793.189525842667
50,51,-240.39496138930934,18086.092078447342
51,52,-240.39496138930934,18637.915346860886
52,53,-240.39496138930934,19357.870686769485
53,54,-240.39496138930934,20319.186631679535
54,55,-240.39496138930934,20608.81472849846
55,56,-240.39496138930934,21745.45915079117
56,57,-240.39496138930934,22550.911308526993
57,58,-240.39496138930934,23329.62355041504
58,59,-240.39496138930934,23372.956430912018
59,60,-240.39496138930934,24319.937034845352
60,61,-240.39496138930934,24814.09170103073
61,62,-240.39496138930934,25533.02011013031
62,63,-236.08438920526618,25627.236086130142
63,64,-236.08438920526618,25954.012530565262
64,65,-236.08438920526618,26291.51177382469
65,66,-236.08438920526618,26546.00366616249
66,67,-236.08438920526618,26829.24877691269
67,68,-236.08438920526618,27880.24982070923
68,69,-236.08438920526618,28504.659778356552
69,70,-236.08438920526618,29334.828186750412
70,71,-236.08438920526618,30020.107406377792
71,72,-236.08438920526618,30965.794467926025
72,73,-236.08438920526618,31550.283654928207
73,74,-236.08438920526618,31988.53180861473
74,75,-236.08438920526618,32064.347929000854
75,76,-236.08438920526618,32268.562166690826
76,77,-236.08438920526618,32785.25255870819
77,78,-236.08438920526618,32935.42503094673
78,79,-236.08438920526618,33178.47612428665
79,80,-236.08438920526618,33674.78830289841
80,81,-236.08438920526618,34725.78400802612
81,82,-236.08438920526618,34778.86420083046
82,83,-236.08438920526618,34922.62423014641
83,84,-236.08438920526618,35336.65214276314
84,85,-236.08438920526618,36587.03634476662
85,86,-236.08438920526618,36862.140448093414
86,87,-236.08438920526618,37094.056193351746
87,88,-236.08438920526618,37459.98833012581
88,89,-236.08438920526618,40336.028614759445
89,90,-236.08438920526618,40412.18852043152
90,91,-236.08438920526618,40546.5620033741
91,92,-236.08438920526618,40941.28123497963
92,93,-236.08438920526618,41139.51871442795
93,94,-236.08438920526618,41151.09366941452
94,95,-231.08578133483118,41227.39259195328
95,96,-231.08578133483118,41555.94040989876
96,97,-231.08578133483118,41880.83376097679
97,98,-231.08578133483118,42007.10901236534
98,99,-231.08578133483118,42142.6090297699
99,100,-231.08578133483118,42387.46516251564
100,101,-231.08578133483118,42398.862216472626
101,102,-231.08578133483118,42460.072977781296
102,103,-231.08578133483118,42515.41942691803
103,104,-231.08578133483118,43250.301216602325
104,105,-231.08578133483118,43261.10153079033
105,106,-231.08578133483118,43367.5336458683
106,107,-231.08578133483118,43517.981627225876
107,108,-231.08578133483118,43721.79360461235
108,109,-231.08578133483118,43905.141830444336
109,110,-231.08578133483118,43990.57415556908
110,111,-231.08578133483118,44049.101511478424
111,112,-231.08578133483118,44378.6258149147
112,113,-231.08578133483118,44389.82420182228
113,114,-231.08578133483118,44471.50186610222
114,115,-231.08578133483118,44661.31819438934
115,116,-231.08578133483118,45081.66216349602
116,117,-231.08578133483118,45178.014023542404
117,118,-231.08578133483118,45246.23012495041
118,119,-231.08578133483118,45322.790210962296
119,120,-231.08578133483118,45371.07783865929
120,121,-231.08578133483118,45743.40242552757
121,122,-231.08578133483118,45812.266558885574
122,123,-231.08578133483118,45989.02890276909
123,124,-231.08578133483118,46054.42045521736
124,125,-231.08578133483118,46066.52874827385
125,126,-231.08578133483118,46147.02998185158
126,127,-231.08578133483118,46207.248109817505
127,128,-231.08578133483118,46751.670999765396
128,129,-231.08578133483118,46772.44665265083
129,130,-231.08578133483118,47141.02674674988
130,131,-231.08578133483118,47407.730775117874
131,132,-231.08578133483118,47488.50269532204
132,133,-231.08578133483118,47613.527369976044
133,134,-231.08578133483118,47859.367104530334
134,135,-231.08578133483118,48159.32739138603
135,136,-231.08578133483118,48199.562963724136
136,137,-231.08578133483118,48211.6954305172
137,138,-231.08578133483118,48486.08743238449
138,139,-231.08578133483118,48606.539412260056
139,140,-231.08578133483118,48662.96313500404
140,141,-231.08578133483118,48675.509370565414
141,142,-231.08578133483118,48741.91532921791
142,143,-231.08578133483118,48803.51314806938
143,144,-231.08578133483118,48870.80125451088
144,145,-231.08578133483118,48884.232169389725
145,146,-231.08578133483118,48955.087508916855
146,147,-231.08578133483118,49019.14761543274
147,148,-231.08578133483118,49077.711602687836
148,149,-231.08578133483118,49642.07176184654
149,150,-231.08578133483118,49715.43197822571
150,151,-230.01920023511127,49771.583797454834
151,152,-230.01920023511127,49999.41984820366
152,153,-230.01920023511127,50214.90787959099
153,154,-230.01920023511127,50284.507853507996
154,155,-230.01920023511127,50389.82385158539
155,156,-230.01920023511127,50441.671941280365
156,157,-230.01920023511127,50726.81617498398
157,158,-230.01920023511127,51119.5042655468
158,159,-230.01920023511127,51174.37231731415
159,160,-230.01920023511127,51328.892401218414
