,x,y,t
0,1,-4433.564647201393,0.2567605972290039
1,2,-4143.690775535521,0.5295748710632324
2,3,-4143.690775535521,0.842644214630127
3,4,-4143.690775535521,1.1294965744018555
4,5,-4143.690775535521,1.4183971881866455
5,6,-3046.684443309068,1.639463186264038
6,7,-2478.4430198698774,1.8232536315917969
7,8,-2478.4430198698774,2.064912796020508
8,9,-2478.4430198698774,2.304370641708374
9,10,-2478.4430198698774,2.53890061378479
10,11,-2478.4430198698774,2.7958855628967285
11,12,-2478.4430198698774,3.030470848083496
12,13,-2478.4430198698774,3.5004096031188965
13,14,-2478.4430198698774,3.7915141582489014
14,15,-2478.4430198698774,4.0621795654296875
15,16,-2478.4430198698774,4.377247333526611
16,17,-2478.4430198698774,4.682245492935181
17,18,-2478.4430198698774,4.977897882461548
18,19,-2478.4430198698774,5.2945029735565186
19,20,-2478.4430198698774,5.535789728164673
20,21,-2478.4430198698774,5.809403896331787
21,22,-2478.4430198698774,6.266329765319824
22,23,-2478.4430198698774,6.530217885971069
23,24,-2478.4430198698774,6.774352788925171
24,25,-2478.4430198698774,7.073092937469482
25,26,-2478.4430198698774,7.313674211502075
26,27,-2057.180649928788,7.555851221084595
27,28,-2057.180649928788,7.860170841217041
28,29,-2057.180649928788,8.109418153762817
29,30,-2057.180649928788,8.392077922821045
30,31,-2057.180649928788,8.722098350524902
31,32,-2057.180649928788,9.018672227859497
32,33,-2057.180649928788,9.342430114746094
33,34,-2057.180649928788,9.73641586303711
34,35,-2057.180649928788,9.992594242095947
35,36,-2057.180649928788,10.231543779373169
36,37,-2057.180649928788,10.798184633255005
37,38,-2057.180649928788,11.033085346221924
38,39,-2057.180649928788,11.27377963066101
39,40,-1937.7249720627324,11.94653582572937
40,41,-1937.7249720627324,12.195993423461914
41,42,-1937.7249720627324,12.470941305160522
42,43,-1937.7249720627324,12.823750257492065
43,44,-1937.7249720627324,13.132914304733276
44,45,-1937.7249720627324,13.386790990829468
45,46,-1937.7249720627324,13.677646398544312
46,47,-1937.7249720627324,13.927869319915771
47,48,-1937.7249720627324,14.232370376586914
48,49,-1937.7249720627324,14.742992401123047
49,50,-1937.7249720627324,14.984026432037354
50,51,-1937.7249720627324,15.235846519470215
51,52,-1937.7249720627324,16.107569932937622
52,53,-1937.7249720627324,16.358829021453857
53,54,-1937.7249720627324,16.59580659866333
54,55,-1937.7249720627324,16.970281839370728
55,56,-1937.7249720627324,17.229254961013794
56,57,-1937.7249720627324,17.4646053314209
57,58,-1937.7249720627324,17.738312005996704
58,59,-1937.7249720627324,17.99259305000305
59,60,-1937.7249720627324,18.253413200378418
60,61,-1937.7249720627324,18.7830491065979
61,62,-1937.7249720627324,19.017284631729126
62,63,-1937.7249720627324,19.265782833099365
63,64,-1937.7249720627324,19.550740480422974
64,65,-1937.7249720627324,19.779986143112183
65,66,-1937.7249720627324,20.03633165359497
66,67,-1937.7249720627324,20.305350303649902
67,68,-1937.7249720627324,20.562371015548706
68,69,-1937.7249720627324,20.799220323562622
69,70,-1937.7249720627324,21.16694474220276
70,71,-1937.7249720627324,21.448139905929565
71,72,-1937.7249720627324,21.692910194396973
72,73,-1937.7249720627324,22.060444831848145
73,74,-1937.7249720627324,22.310897827148438
74,75,-1937.7249720627324,22.552238941192627
75,76,-1937.7249720627324,22.96621322631836
76,77,-1937.7249720627324,23.289781093597412
77,78,-1937.7249720627324,23.599870443344116
78,79,-1937.7249720627324,24.042293310165405
79,80,-1937.7249720627324,24.37025475502014
80,81,-1937.7249720627324,24.660940647125244
81,82,-1937.7249720627324,24.94399857521057
82,83,-1937.7249720627324,25.196972608566284
83,84,-1937.7249720627324,25.43783974647522
84,85,-1937.7249720627324,25.741153717041016
85,86,-1937.7249720627324,25.996803522109985
86,87,-1937.7249720627324,26.238890171051025
87,88,-1937.7249720627324,26.583035469055176
88,89,-1937.7249720627324,26.855249881744385
89,90,-1937.7249720627324,27.11325168609619
90,91,-1937.7249720627324,27.365410327911377
91,92,-1937.7249720627324,27.606041193008423
92,93,-1937.7249720627324,27.874006271362305
93,94,-1937.7249720627324,28.312350034713745
94,95,-1937.7249720627324,28.551021575927734
95,96,-1937.7249720627324,28.788886070251465
96,97,-1937.7249720627324,29.248430728912354
97,98,-1937.7249720627324,29.50326919555664
98,99,-1937.7249720627324,29.735828399658203
99,100,-1937.7249720627324,30.093735933303833
