,x,y,t,n_samples
0,1,-3724.3444209365316,0.23971199989318848,1000.0
1,2,-3724.3444209365316,0.5048906803131104,2000.0
2,3,-3724.3444209365316,0.7665178775787354,3000.0
3,4,-3724.3444209365316,1.0309453010559082,4000.0
4,5,-2327.4415577287828,1.2926316261291504,5000.0
5,6,-2327.4415577287828,1.5575335025787354,6000.0
6,7,-2178.7961900266105,1.848358154296875,7000.0
7,8,-2178.7961900266105,2.1617271900177,8000.0
8,9,-2178.7961900266105,2.486022710800171,9000.0
9,10,-2178.7961900266105,2.77887225151062,10000.0
10,11,-2178.7961900266105,3.167630672454834,11000.0
11,12,-2178.7961900266105,3.5304646492004395,12000.0
12,13,-2178.7961900266105,4.069775819778442,13000.0
13,14,-2178.7961900266105,4.3965678215026855,14000.0
14,15,-2178.7961900266105,4.701573371887207,15000.0
15,16,-2178.7961900266105,5.13595175743103,16000.0
16,17,-2178.7961900266105,5.480095863342285,17000.0
17,18,-2178.7961900266105,5.8051416873931885,18000.0
18,19,-2178.7961900266105,6.08613920211792,19000.0
19,20,-2178.7961900266105,6.338505268096924,20000.0
20,21,-2178.7961900266105,6.60299015045166,21000.0
21,22,-2178.7961900266105,6.872126579284668,22000.0
22,23,-2178.7961900266105,7.114766836166382,23000.0
23,24,-1206.0175704105131,7.401901006698608,24000.0
24,25,-1206.0175704105131,7.659325122833252,25000.0
25,26,-1206.0175704105131,7.898203611373901,26000.0
26,27,-1206.0175704105131,8.126510620117188,27000.0
27,28,-1206.0175704105131,8.457071542739868,28000.0
28,29,-1206.0175704105131,8.911210536956787,29000.0
29,30,-1206.0175704105131,9.39139699935913,30000.0
30,31,-1206.0175704105131,9.885634183883667,31000.0
31,32,-1206.0175704105131,10.153366088867188,32000.0
32,33,-1206.0175704105131,10.411074161529541,33000.0
33,34,-1206.0175704105131,11.850084781646729,34000.0
34,35,-1206.0175704105131,12.140128374099731,35000.0
35,36,-1206.0175704105131,12.62482738494873,36000.0
36,37,-1206.0175704105131,13.215740442276001,37000.0
37,38,-1206.0175704105131,13.639795303344727,38000.0
38,39,-1206.0175704105131,13.979112148284912,39000.0
39,40,-1206.0175704105131,15.850415468215942,40000.0
40,41,-1206.0175704105131,16.302469730377197,41000.0
41,42,-1206.0175704105131,16.87367343902588,42000.0
42,43,-1206.0175704105131,18.24697184562683,43000.0
43,44,-1206.0175704105131,18.575994968414307,44000.0
44,45,-1206.0175704105131,18.877151012420654,45000.0
45,46,-1206.0175704105131,20.177111625671387,46000.0
46,47,-1206.0175704105131,20.573071479797363,47000.0
47,48,-1206.0175704105131,20.933099508285522,48000.0
48,49,-1206.0175704105131,21.597136735916138,49000.0
49,50,-1206.0175704105131,21.94388771057129,50000.0
50,51,-1206.0175704105131,22.467321157455444,51000.0
51,52,-1206.0175704105131,24.403027534484863,52000.0
52,53,-1206.0175704105131,24.674516439437866,53000.0
53,54,-1206.0175704105131,24.990208864212036,54000.0
54,55,-1206.0175704105131,26.70698833465576,55000.0
55,56,-1206.0175704105131,26.973103761672974,56000.0
56,57,-1206.0175704105131,27.390303134918213,57000.0
57,58,-1206.0175704105131,29.925177097320557,58000.0
58,59,-1206.0175704105131,30.32866883277893,59000.0
59,60,-1206.0175704105131,30.758137464523315,60000.0
60,61,-1206.0175704105131,32.7579460144043,61000.0
61,62,-1206.0175704105131,33.07461333274841,62000.0
62,63,-1206.0175704105131,33.334853649139404,63000.0
63,64,-1206.0175704105131,33.95492482185364,64000.0
64,65,-1206.0175704105131,34.259554862976074,65000.0
65,66,-1206.0175704105131,34.59452843666077,66000.0
66,67,-1206.0175704105131,35.851513147354126,67000.0
67,68,-1206.0175704105131,36.19055724143982,68000.0
68,69,-1206.0175704105131,36.59385633468628,69000.0
69,70,-1206.0175704105131,39.00501608848572,70000.0
70,71,-1206.0175704105131,39.45036292076111,71000.0
71,72,-1206.0175704105131,39.84569525718689,72000.0
72,73,-1206.0175704105131,40.61886525154114,73000.0
73,74,-1206.0175704105131,40.96204996109009,74000.0
74,75,-1206.0175704105131,41.32681584358215,75000.0
75,76,-1206.0175704105131,41.85662078857422,76000.0
76,77,-1206.0175704105131,42.16460156440735,77000.0
77,78,-1206.0175704105131,42.73457360267639,78000.0
78,79,-1206.0175704105131,44.12014293670654,79000.0
79,80,-1206.0175704105131,44.47368144989014,80000.0
80,81,-1206.0175704105131,44.7995228767395,81000.0
81,82,-1206.0175704105131,45.390668630599976,82000.0
82,83,-1206.0175704105131,45.674882650375366,83000.0
83,84,-1206.0175704105131,45.93389129638672,84000.0
84,85,-1206.0175704105131,46.725321769714355,85000.0
85,86,-1206.0175704105131,47.12101721763611,86000.0
86,87,-1206.0175704105131,47.46008110046387,87000.0
87,88,-1206.0175704105131,49.634355306625366,88000.0
88,89,-1206.0175704105131,49.93265199661255,89000.0
89,90,-1206.0175704105131,50.253636598587036,90000.0
90,91,-1206.0175704105131,52.516225814819336,91000.0
91,92,-1206.0175704105131,52.934714794158936,92000.0
92,93,-1206.0175704105131,53.31328010559082,93000.0
93,94,-1206.0175704105131,54.58816695213318,94000.0
94,95,-1206.0175704105131,54.90742206573486,95000.0
95,96,-1206.0175704105131,55.16827130317688,96000.0
96,97,-1206.0175704105131,55.77530837059021,97000.0
97,98,-1206.0175704105131,56.31664252281189,98000.0
98,99,-1206.0175704105131,56.72530722618103,99000.0
99,100,-1206.0175704105131,57.397679805755615,100000.0
100,101,-1206.0175704105131,57.7559380531311,101000.0
101,102,-1206.0175704105131,58.27108573913574,102000.0
102,103,-1206.0175704105131,60.286383390426636,103000.0
103,104,-1206.0175704105131,60.55500912666321,104000.0
104,105,-1206.0175704105131,60.89242124557495,105000.0
105,106,-1206.0175704105131,61.71977615356445,106000.0
106,107,-1206.0175704105131,62.17854642868042,107000.0
107,108,-1206.0175704105131,62.5577449798584,108000.0
108,109,-1206.0175704105131,63.33808159828186,109000.0
109,110,-1206.0175704105131,63.69108533859253,110000.0
110,111,-1206.0175704105131,63.98773789405823,111000.0
111,112,-1206.0175704105131,66.36974167823792,112000.0
112,113,-1206.0175704105131,66.68279910087585,113000.0
113,114,-1206.0175704105131,67.10485625267029,114000.0
114,115,-1206.0175704105131,67.81248259544373,115000.0
115,116,-1206.0175704105131,68.28573989868164,116000.0
116,117,-1206.0175704105131,68.58293771743774,117000.0
117,118,-1206.0175704105131,69.227224111557,118000.0
118,119,-1206.0175704105131,69.61253452301025,119000.0
119,120,-1206.0175704105131,70.0403835773468,120000.0
120,121,-1206.0175704105131,70.7012391090393,121000.0
121,122,-1206.0175704105131,71.05750823020935,122000.0
122,123,-1206.0175704105131,71.57419848442078,123000.0
123,124,-1206.0175704105131,72.45244884490967,124000.0
124,125,-1206.0175704105131,72.83087873458862,125000.0
125,126,-1206.0175704105131,73.10211038589478,126000.0
126,127,-1206.0175704105131,73.85934710502625,127000.0
127,128,-1206.0175704105131,74.29290771484375,128000.0
128,129,-1206.0175704105131,74.7619948387146,129000.0
129,130,-1206.0175704105131,76.46535277366638,130000.0
130,131,-1206.0175704105131,76.88977360725403,131000.0
131,132,-1206.0175704105131,77.31465816497803,132000.0
132,133,-1206.0175704105131,79.16307759284973,133000.0
133,134,-1206.0175704105131,79.74198770523071,134000.0
134,135,-1206.0175704105131,80.14610552787781,135000.0
135,136,-1206.0175704105131,81.82897281646729,136000.0
136,137,-1206.0175704105131,82.55512762069702,137000.0
137,138,-1206.0175704105131,82.82655835151672,138000.0
138,139,-1206.0175704105131,83.76163649559021,139000.0
139,140,-1206.0175704105131,84.25660037994385,140000.0
140,141,-1206.0175704105131,84.8365273475647,141000.0
141,142,-1206.0175704105131,86.40841603279114,142000.0
142,143,-1206.0175704105131,86.81975936889648,143000.0
143,144,-1206.0175704105131,87.10539746284485,144000.0
144,145,-1206.0175704105131,87.44483661651611,145000.0
145,146,-1206.0175704105131,87.76583528518677,146000.0
146,147,-1206.0175704105131,88.02492451667786,147000.0
147,148,-1206.0175704105131,88.40453147888184,148000.0
148,149,-1206.0175704105131,88.68862056732178,149000.0
149,150,-1206.0175704105131,88.95470142364502,150000.0
150,151,-1206.0175704105131,90.66906762123108,151000.0
151,152,-1206.0175704105131,91.07143640518188,152000.0
152,153,-1206.0175704105131,91.48338413238525,153000.0
153,154,-1206.0175704105131,92.0978512763977,154000.0
154,155,-1206.0175704105131,92.41077017784119,155000.0
155,156,-1206.0175704105131,92.69483017921448,156000.0
156,157,-1206.0175704105131,93.39144229888916,157000.0
157,158,-1206.0175704105131,93.67393827438354,158000.0
158,159,-1206.0175704105131,93.96058678627014,159000.0
159,160,-1206.0175704105131,94.5529522895813,160000.0
160,161,-1206.0175704105131,95.01233315467834,161000.0
161,162,-1206.0175704105131,95.48746275901794,162000.0
162,163,-1206.0175704105131,95.73685240745544,163000.0
163,164,-1206.0175704105131,96.01257967948914,164000.0
164,165,-1206.0175704105131,96.24518823623657,165000.0
165,166,-1206.0175704105131,96.49130582809448,166000.0
166,167,-1206.0175704105131,96.73970055580139,167000.0
167,168,-1206.0175704105131,97.16522455215454,168000.0
168,169,-1206.0175704105131,97.84521389007568,169000.0
169,170,-1206.0175704105131,98.30719351768494,170000.0
170,171,-1206.0175704105131,98.71420097351074,171000.0
171,172,-1206.0175704105131,99.43838119506836,172000.0
172,173,-1206.0175704105131,99.75316905975342,173000.0
173,174,-1206.0175704105131,100.06141257286072,174000.0
174,175,-1206.0175704105131,100.71286225318909,175000.0
175,176,-1206.0175704105131,101.02216506004333,176000.0
176,177,-1206.0175704105131,101.33300709724426,177000.0
177,178,-1206.0175704105131,102.02698230743408,178000.0
178,179,-1206.0175704105131,102.33820223808289,179000.0
179,180,-1206.0175704105131,102.6551411151886,180000.0
180,181,-1206.0175704105131,102.99821400642395,181000.0
181,182,-1206.0175704105131,103.29362535476685,182000.0
182,183,-1206.0175704105131,103.9088032245636,183000.0
183,184,-1206.0175704105131,104.59851336479187,184000.0
184,185,-1206.0175704105131,105.06954526901245,185000.0
185,186,-1206.0175704105131,105.46911764144897,186000.0
186,187,-1206.0175704105131,106.15149641036987,187000.0
187,188,-1206.0175704105131,106.41362380981445,188000.0
188,189,-1206.0175704105131,106.90463352203369,189000.0
189,190,-1206.0175704105131,107.36751532554626,190000.0
190,191,-1206.0175704105131,107.84331703186035,191000.0
191,192,-1206.0175704105131,108.2636616230011,192000.0
192,193,-1206.0175704105131,108.9851725101471,193000.0
193,194,-1206.0175704105131,109.30192589759827,194000.0
194,195,-1206.0175704105131,109.64744853973389,195000.0
195,196,-1206.0175704105131,110.03048896789551,196000.0
196,197,-1206.0175704105131,110.3336591720581,197000.0
197,198,-1206.0175704105131,110.67905950546265,198000.0
198,199,-1206.0175704105131,111.3524923324585,199000.0
199,200,-1206.0175704105131,111.71947002410889,200000.0
200,201,-1206.0175704105131,112.07523393630981,201000.0
201,202,-1206.0175704105131,112.66512060165405,202000.0
202,203,-1206.0175704105131,112.9450159072876,203000.0
203,204,-1206.0175704105131,113.20573234558105,204000.0
204,205,-1206.0175704105131,113.86161255836487,205000.0
205,206,-1206.0175704105131,114.12444353103638,206000.0
206,207,-1206.0175704105131,114.39776110649109,207000.0
207,208,-1206.0175704105131,114.64390921592712,208000.0
208,209,-1206.0175704105131,114.94787621498108,209000.0
209,210,-1206.0175704105131,115.36698389053345,210000.0
210,211,-1206.0175704105131,116.11518120765686,211000.0
211,212,-1206.0175704105131,116.59488463401794,212000.0
212,213,-1206.0175704105131,116.9727463722229,213000.0
213,214,-1206.0175704105131,117.61963820457458,214000.0
214,215,-1206.0175704105131,117.87130618095398,215000.0
215,216,-1206.0175704105131,118.17786693572998,216000.0
216,217,-1206.0175704105131,118.61392307281494,217000.0
217,218,-1206.0175704105131,118.9591736793518,218000.0
218,219,-1206.0175704105131,119.33292698860168,219000.0
219,220,-1206.0175704105131,119.91102814674377,220000.0
220,221,-1206.0175704105131,120.14057278633118,221000.0
