,x,y,t
0,1,-234.9020262077513,0.0003001689910888672
1,2,-234.9020262077513,0.0003349781036376953
2,3,-140.55093941682082,0.0003657341003417969
3,4,-140.55093941682082,0.0003952980041503906
4,5,-140.55093941682082,0.0004246234893798828
5,6,-140.55093941682082,0.0004534721374511719
6,7,-140.55093941682082,0.0004820823669433594
7,8,-140.55093941682082,0.0005106925964355469
8,9,-140.55093941682082,0.0005390644073486328
9,10,-140.55093941682082,0.0005679130554199219
10,11,-140.55093941682082,0.0005962848663330078
11,12,-140.55093941682082,0.0006246566772460938
12,13,-140.55093941682082,0.0006530284881591797
13,14,-140.55093941682082,0.0006809234619140625
14,15,-140.55093941682082,0.0007092952728271484
15,16,-140.55093941682082,0.0007374286651611328
16,17,-140.55093941682082,0.0007658004760742188
17,18,-140.55093941682082,0.0007946491241455078
18,19,-140.55093941682082,0.0008227825164794922
19,20,-140.55093941682082,0.0008511543273925781
20,21,-140.55093941682082,1.0812370777130127
21,22,-119.93526817975595,1.081275224685669
22,23,-119.93526817975595,1.0813112258911133
23,24,-119.93526817975595,1.081343412399292
24,25,-119.93526817975595,1.081373691558838
25,26,-119.93526817975595,1.081404447555542
26,27,-95.39744187119605,1.081434965133667
27,28,-95.39744187119605,1.0814645290374756
28,29,-95.39744187119605,1.081493854522705
29,30,-95.39744187119605,1.0815274715423584
30,31,-93.95375501351553,2.121060609817505
31,32,-93.95375501351553,2.1210970878601074
32,33,-93.95375501351553,2.121128797531128
33,34,-93.95375501351553,2.121159315109253
34,35,-93.95375501351553,2.121189594268799
35,36,-92.2120776767158,2.1212193965911865
36,37,-64.32215056852188,2.121249198913574
37,38,-64.32215056852188,2.1212785243988037
38,39,-64.32215056852188,2.121312379837036
39,40,-64.32215056852188,2.121342897415161
40,41,-64.32215056852188,3.163397789001465
41,42,-64.32215056852188,3.163433790206909
42,43,-64.32215056852188,3.163465738296509
43,44,-64.32215056852188,3.163496255874634
44,45,-64.32215056852188,3.1635262966156006
45,46,-64.32215056852188,3.1635560989379883
46,47,-64.32215056852188,3.163585662841797
47,48,-64.32215056852188,3.1636152267456055
48,49,-64.32215056852188,3.163644552230835
49,50,-64.32215056852188,3.1636736392974854
50,51,-64.32215056852188,4.218540668487549
51,52,-64.32215056852188,4.2185797691345215
52,53,-64.32215056852188,4.218613624572754
53,54,-64.32215056852188,4.218646049499512
54,55,-64.32215056852188,4.218677520751953
55,56,-64.32215056852188,4.218709707260132
56,57,-64.32215056852188,4.218741178512573
57,58,-55.129128267480105,4.2187724113464355
58,59,-55.129128267480105,4.218803882598877
59,60,-55.129128267480105,4.218836307525635
60,61,-55.129128267480105,5.287750005722046
61,62,-55.129128267480105,5.287789821624756
62,63,-55.129128267480105,5.287824392318726
63,64,-55.129128267480105,5.287857294082642
64,65,-55.129128267480105,5.287889003753662
65,66,-55.129128267480105,5.287920951843262
66,67,-55.129128267480105,5.287952423095703
67,68,-55.129128267480105,5.287983655929565
68,69,-55.129128267480105,5.288015127182007
69,70,-55.129128267480105,5.288046598434448
70,71,-55.129128267480105,6.36122727394104
71,72,-49.53320425180794,6.36126708984375
72,73,-49.53320425180794,6.3613011837005615
73,74,-49.53320425180794,6.3613409996032715
74,75,-49.53320425180794,6.361373662948608
75,76,-49.53320425180794,6.361405849456787
76,77,-49.53320425180794,6.361437797546387
77,78,-49.53320425180794,6.361469745635986
78,79,-49.53320425180794,6.361501455307007
79,80,-49.53320425180794,6.3615334033966064
80,81,-49.53320425180794,7.441941976547241
81,82,-44.23446236846625,7.441982269287109
82,83,-40.815266417980915,7.442016839981079
83,84,-40.815266417980915,7.442050218582153
84,85,-40.815266417980915,7.442082405090332
85,86,-40.815266417980915,7.442114353179932
86,87,-40.815266417980915,7.442146062850952
87,88,-40.815266417980915,7.442178010940552
88,89,-40.815266417980915,7.442209720611572
89,90,-40.815266417980915,7.442242622375488
90,91,-40.815266417980915,8.52830958366394
91,92,-40.815266417980915,8.52834963798523
92,93,-40.815266417980915,8.528383493423462
93,94,-37.89838655742756,8.528416633605957
94,95,-37.89838655742756,8.528449296951294
95,96,-37.89838655742756,8.528481721878052
96,97,-37.89838655742756,8.528512954711914
97,98,-37.89838655742756,8.528544664382935
98,99,-37.89838655742756,8.528576612472534
99,100,-37.89838655742756,8.528607845306396
100,101,-37.89838655742756,9.624889373779297
101,102,-37.89838655742756,9.624929189682007
102,103,-35.368467932322964,9.624963760375977
103,104,-35.368467932322964,9.624996662139893
104,105,-35.368467932322964,9.625028371810913
105,106,-35.368467932322964,9.625060319900513
106,107,-35.368467932322964,9.625092029571533
107,108,-35.368467932322964,9.625125169754028
108,109,-35.368467932322964,9.625156164169312
109,110,-35.368467932322964,9.625187873840332
