,x,y,t
0,1,-1613566.8542794562,0.0016486644744873047
1,2,-569880.5540581166,0.0016880035400390625
2,3,-569880.5540581166,0.0017228126525878906
3,4,-474611.28837200784,0.0017597675323486328
4,5,-474611.28837200784,0.00179290771484375
5,6,-474611.28837200784,0.0018267631530761719
6,7,-474611.28837200784,0.001859903335571289
7,8,-474611.28837200784,0.0018923282623291016
8,9,-474611.28837200784,0.0019252300262451172
9,10,-474611.28837200784,0.0019605159759521484
10,11,-194328.83837914633,0.0762631893157959
11,12,-194328.83837914633,0.08398079872131348
12,13,-194328.83837914633,0.09166097640991211
13,14,-194328.83837914633,0.1479625701904297
14,15,-194328.83837914633,0.15550971031188965
15,16,-194328.83837914633,0.16304636001586914
16,17,-194328.83837914633,0.24498844146728516
17,18,-194328.83837914633,0.2524549961090088
18,19,-194328.83837914633,0.2580451965332031
19,20,-37035.69140643619,0.3528289794921875
20,21,-37035.69140643619,0.3584601879119873
21,22,-37035.69140643619,0.3643975257873535
22,23,-37035.69140643619,0.4126288890838623
23,24,-37035.69140643619,0.41805601119995117
24,25,-37035.69140643619,0.423633337020874
25,26,-37035.69140643619,0.4739799499511719
26,27,-37035.69140643619,0.4781203269958496
27,28,-37035.69140643619,0.4821968078613281
28,29,-37035.69140643619,0.5430693626403809
29,30,-37035.69140643619,0.5486128330230713
30,31,-37035.69140643619,0.554105281829834
31,32,-37035.69140643619,0.604886531829834
32,33,-37035.69140643619,0.609058141708374
33,34,-37035.69140643619,0.6138863563537598
34,35,-37035.69140643619,0.6836225986480713
35,36,-37035.69140643619,0.6891672611236572
36,37,-37035.69140643619,0.6946635246276855
37,38,-37035.69140643619,1.059126615524292
38,39,-37035.69140643619,1.0647149085998535
39,40,-37035.69140643619,1.0703110694885254
40,41,-37035.69140643619,2.5274229049682617
41,42,-37035.69140643619,2.5329864025115967
42,43,-37035.69140643619,2.5386223793029785
43,44,-37035.69140643619,4.157271862030029
44,45,-37035.69140643619,4.164938688278198
45,46,-37035.69140643619,4.172548294067383
46,47,-37035.69140643619,5.842211008071899
47,48,-12192.038289716173,5.865668535232544
48,49,-12192.038289716173,5.872304916381836
49,50,-12192.038289716173,7.035883665084839
50,51,-12192.038289716173,7.064836263656616
51,52,-12192.038289716173,7.069736480712891
52,53,-12192.038289716173,8.07577657699585
53,54,-12192.038289716173,8.081339597702026
54,55,-12192.038289716173,8.086761713027954
55,56,-12192.038289716173,9.247756719589233
56,57,-12192.038289716173,9.253408432006836
57,58,-12192.038289716173,9.259023427963257
58,59,-12192.038289716173,10.711541652679443
59,60,-12192.038289716173,10.717130899429321
60,61,-12192.038289716173,10.725745916366577
61,62,-12192.038289716173,12.487383604049683
62,63,-12192.038289716173,12.492941617965698
63,64,-12192.038289716173,12.498513460159302
64,65,-12192.038289716173,13.727347612380981
65,66,-12192.038289716173,13.734979391098022
66,67,-12192.038289716173,13.742666959762573
67,68,-12192.038289716173,15.547505378723145
68,69,-12192.038289716173,15.553082466125488
69,70,-12192.038289716173,15.558611869812012
70,71,-12192.038289716173,17.2116961479187
71,72,-12192.038289716173,17.217207193374634
72,73,-12192.038289716173,17.222793102264404
73,74,-12192.038289716173,18.923325777053833
74,75,-12192.038289716173,18.928683757781982
75,76,-12192.038289716173,18.933437824249268
76,77,-12192.038289716173,20.699552059173584
77,78,-12192.038289716173,20.705130338668823
78,79,-12192.038289716173,20.717525720596313
79,80,-12192.038289716173,22.427250862121582
80,81,-12192.038289716173,22.432775735855103
81,82,-12192.038289716173,22.438292980194092
82,83,-12192.038289716173,24.267446279525757
83,84,-12192.038289716173,24.27327799797058
84,85,-12192.038289716173,24.29416513442993
85,86,-12192.038289716173,26.115327835083008
86,87,-12192.038289716173,26.120842695236206
87,88,-12192.038289716173,26.1262366771698
88,89,-12192.038289716173,27.615413665771484
89,90,-12192.038289716173,27.634868621826172
90,91,-12192.038289716173,27.639710903167725
91,92,-12192.038289716173,29.139377117156982
92,93,-12192.038289716173,29.14487099647522
93,94,-12192.038289716173,29.156113147735596
94,95,-12192.038289716173,30.590348482131958
95,96,-12192.038289716173,30.595787525177002
96,97,-12192.038289716173,30.600566148757935
97,98,-12192.038289716173,32.11553478240967
98,99,-12192.038289716173,32.12101125717163
99,100,-12192.038289716173,32.12645959854126
100,101,-12192.038289716173,32.31565260887146
101,102,-12192.038289716173,32.32120442390442
102,103,-12192.038289716173,32.33700084686279
103,104,-12192.038289716173,34.05944800376892
104,105,-12192.038289716173,34.065038442611694
105,106,-12192.038289716173,34.07054328918457
106,107,-12192.038289716173,35.805529832839966
107,108,-12192.038289716173,35.81042122840881
108,109,-12192.038289716173,35.815288066864014
109,110,-12192.038289716173,37.350112199783325
110,111,-12192.038289716173,37.355717182159424
111,112,-12192.038289716173,37.36129450798035
112,113,-12192.038289716173,38.4508330821991
113,114,-12192.038289716173,38.45624041557312
114,115,-12192.038289716173,38.46175456047058
115,116,-12192.038289716173,39.93552613258362
116,117,-12192.038289716173,39.940457820892334
117,118,-12192.038289716173,39.94534873962402
118,119,-12192.038289716173,41.451087951660156
119,120,-12010.064928770591,41.45673394203186
120,121,-12010.064928770591,41.46241784095764
121,122,-12010.064928770591,41.850566148757935
122,123,-12010.064928770591,41.855385541915894
123,124,-12010.064928770591,41.8602180480957
124,125,-12010.064928770591,43.21460819244385
125,126,-9419.940682647024,43.22021555900574
126,127,-9419.940682647024,43.22581219673157
127,128,-9419.940682647024,43.742709159851074
128,129,-9419.940682647024,43.7483069896698
129,130,-9419.940682647024,43.75386714935303
130,131,-9419.940682647024,44.91923785209656
131,132,-9057.668147517696,44.924848556518555
132,133,-9057.668147517696,44.93038249015808
133,134,-9057.668147517696,45.93633770942688
134,135,-9057.668147517696,45.941606760025024
135,136,-9057.668147517696,45.94713020324707
136,137,-9057.668147517696,47.002695083618164
137,138,-9057.668147517696,47.00752806663513
138,139,-9057.668147517696,47.012367248535156
139,140,-9057.668147517696,47.35489559173584
140,141,-9057.668147517696,47.359750509262085
141,142,-9057.668147517696,47.364558696746826
142,143,-9057.668147517696,48.83495235443115
143,144,-9057.668147517696,48.84076690673828
144,145,-9057.668147517696,48.84592151641846
145,146,-9057.668147517696,50.42231225967407
146,147,-9057.668147517696,50.42644906044006
147,148,-9057.668147517696,50.430524587631226
148,149,-9057.668147517696,52.0029411315918
149,150,-9057.668147517696,52.008495807647705
150,151,-9057.668147517696,52.018582820892334
151,152,-9057.668147517696,53.31523561477661
152,153,-9057.668147517696,53.32091283798218
153,154,-8977.149446186892,53.32643508911133
154,155,-8977.149446186892,55.627278566360474
155,156,-8977.149446186892,55.63299226760864
156,157,-8977.149446186892,55.64273023605347
157,158,-8977.149446186892,58.47936987876892
158,159,-8977.149446186892,58.48506188392639
159,160,-8977.149446186892,58.490593671798706
160,161,-8977.149446186892,58.73931312561035
161,162,-8977.149446186892,58.74541711807251
162,163,-8977.149446186892,58.75225234031677
163,164,-8977.149446186892,60.962958574295044
164,165,-8977.149446186892,60.968268394470215
165,166,-8977.149446186892,60.97303581237793
166,167,-8977.149446186892,63.086087703704834
167,168,-8977.149446186892,63.09170365333557
168,169,-8977.149446186892,63.10404706001282
169,170,-8977.149446186892,65.57733750343323
170,171,-8977.149446186892,65.58664798736572
171,172,-8977.149446186892,65.59477376937866
172,173,-8977.149446186892,68.54463624954224
173,174,-8977.149446186892,68.5501754283905
174,175,-8977.149446186892,68.55506587028503
175,176,-8977.149446186892,70.7300443649292
176,177,-8977.149446186892,70.73554873466492
177,178,-8977.149446186892,70.74088406562805
178,179,-8977.149446186892,72.72706365585327
179,180,-8977.149446186892,72.73197627067566
180,181,-8977.149446186892,72.75148224830627
181,182,-8977.149446186892,74.97148203849792
182,183,-8977.149446186892,74.98738241195679
183,184,-8977.149446186892,74.99202132225037
184,185,-8977.149446186892,77.60638785362244
185,186,-8977.149446186892,77.61214280128479
186,187,-8977.149446186892,77.617422580719
187,188,-8977.149446186892,81.80687236785889
188,189,-8977.149446186892,81.81235814094543
189,190,-8977.149446186892,81.81789541244507
190,191,-8977.149446186892,84.27622413635254
