,x,y,t
0,1,-2088927.8914535274,0.0007338523864746094
1,2,-1903326.4990843192,0.000812530517578125
2,3,-1903326.4990843192,0.0008826255798339844
3,4,-1667616.0950088825,0.0012962818145751953
4,5,-1667616.0950088825,0.0013644695281982422
5,6,-1070118.5871814885,0.0014379024505615234
6,7,-1070118.5871814885,0.0018532276153564453
7,8,-1070118.5871814885,0.001924276351928711
8,9,-1070118.5871814885,0.0019919872283935547
9,10,-1070118.5871814885,0.0024132728576660156
10,11,-1070118.5871814885,0.0024962425231933594
11,12,-1070118.5871814885,0.002563953399658203
12,13,-1070118.5871814885,48.728230476379395
13,14,-1070118.5871814885,48.7291362285614
14,15,-855063.2461224772,48.7460298538208
15,16,-855063.2461224772,48.74691104888916
16,17,-855063.2461224772,48.74777579307556
17,18,-855063.2461224772,48.74865412712097
18,19,-855063.2461224772,48.749531507492065
19,20,-855063.2461224772,48.7504141330719
20,21,-855063.2461224772,48.751405239105225
21,22,-855063.2461224772,48.75238633155823
22,23,-855063.2461224772,91.82872176170349
23,24,-855063.2461224772,91.83002543449402
24,25,-855063.2461224772,91.83121705055237
25,26,-855063.2461224772,91.83240008354187
26,27,-855063.2461224772,91.83913731575012
27,28,-855063.2461224772,91.84010815620422
28,29,-855063.2461224772,91.84104633331299
29,30,-855063.2461224772,91.84210681915283
30,31,-855063.2461224772,91.84411764144897
31,32,-855063.2461224772,91.8457612991333
32,33,-855063.2461224772,142.20921397209167
33,34,-783216.8615777319,142.21021842956543
34,35,-783216.8615777319,142.2111189365387
35,36,-783216.8615777319,142.21199798583984
36,37,-783216.8615777319,142.21287870407104
37,38,-783216.8615777319,142.21372246742249
38,39,-783216.8615777319,142.21462202072144
39,40,-783216.8615777319,142.2154688835144
40,41,-783216.8615777319,142.21635746955872
41,42,-783216.8615777319,142.21720337867737
42,43,-783216.8615777319,195.7245078086853
43,44,-783216.8615777319,195.72540736198425
44,45,-783216.8615777319,195.7263593673706
45,46,-783216.8615777319,195.7272026538849
46,47,-783216.8615777319,195.72810578346252
47,48,-783216.8615777319,195.7289559841156
48,49,-783216.8615777319,195.7298686504364
49,50,-783216.8615777319,195.7307574748993
50,51,-780126.7427347667,195.73945593833923
51,52,-659137.4711814132,195.7403690814972
52,53,-634138.3603918408,251.5685760974884
53,54,-528369.879803072,251.56957125663757
54,55,-528369.879803072,251.5704686641693
55,56,-528369.879803072,251.57135200500488
56,57,-528369.879803072,251.57223844528198
57,58,-528369.879803072,251.57313656806946
58,59,-528369.879803072,251.57404398918152
59,60,-528369.879803072,251.5749409198761
60,61,-528369.879803072,251.57582998275757
61,62,-528369.879803072,251.57702231407166
62,63,-528369.879803072,312.1010615825653
63,64,-528369.879803072,312.1021726131439
64,65,-435441.6335169311,312.10307574272156
65,66,-435441.6335169311,312.10396027565
66,67,-384843.11714004364,312.10484552383423
67,68,-384843.11714004364,312.1057348251343
68,69,-384843.11714004364,312.10662055015564
69,70,-384843.11714004364,312.1075005531311
70,71,-259657.6513033891,312.1083822250366
71,72,-259657.6513033891,312.10926628112793
72,73,-259657.6513033891,369.61470580101013
73,74,-259657.6513033891,369.6156976222992
74,75,-259657.6513033891,369.6166036128998
75,76,-259657.6513033891,369.61750531196594
76,77,-259657.6513033891,369.6183886528015
77,78,-259657.6513033891,369.61927676200867
78,79,-259657.6513033891,369.6201288700104
79,80,-259657.6513033891,369.6210174560547
80,81,-259657.6513033891,369.621910572052
81,82,-259657.6513033891,369.62279987335205
82,83,-259657.6513033891,427.5724844932556
83,84,-224842.05433684317,427.57345843315125
84,85,-224842.05433684317,427.57434725761414
85,86,-224842.05433684317,427.5752305984497
86,87,-224842.05433684317,427.57610726356506
87,88,-224842.05433684317,427.57695031166077
88,89,-224842.05433684317,427.5778591632843
89,90,-224842.05433684317,427.578750371933
90,91,-224842.05433684317,427.57963728904724
91,92,-224842.05433684317,427.58047914505005
92,93,-224842.05433684317,483.276878118515
93,94,-224842.05433684317,483.2778854370117
94,95,-224842.05433684317,483.2787823677063
95,96,-224842.05433684317,483.27963304519653
96,97,-224842.05433684317,483.2805209159851
97,98,-224842.05433684317,483.28143978118896
98,99,-224842.05433684317,483.2824764251709
99,100,-224842.05433684317,483.2834794521332
100,101,-224842.05433684317,483.2929298877716
101,102,-224842.05433684317,483.294979095459
102,103,-224842.05433684317,548.7847757339478
103,104,-224842.05433684317,548.7856864929199
104,105,-224842.05433684317,548.7866334915161
105,106,-204939.26865043383,548.7874813079834
106,107,-204939.26865043383,548.7883787155151
107,108,-204939.26865043383,548.7892653942108
108,109,-204939.26865043383,548.7901654243469
109,110,-204939.26865043383,548.7910435199738
110,111,-204939.26865043383,548.7919180393219
111,112,-204939.26865043383,548.7927987575531
112,113,-204939.26865043383,612.2859320640564
113,114,-204939.26865043383,612.2870697975159
114,115,-204939.26865043383,612.2881078720093
115,116,-204939.26865043383,612.2890985012054
116,117,-204939.26865043383,612.290097951889
117,118,-204939.26865043383,612.2911379337311
118,119,-204939.26865043383,612.2921960353851
119,120,-204939.26865043383,612.2932348251343
120,121,-204939.26865043383,612.2971179485321
121,122,-204939.26865043383,612.2981638908386
122,123,-204939.26865043383,666.579030752182
123,124,-204939.26865043383,666.5799300670624
124,125,-197271.09523438773,666.5807020664215
125,126,-197271.09523438773,666.581521987915
126,127,-167842.59229521212,666.5823223590851
127,128,-167842.59229521212,666.5831367969513
128,129,-167842.59229521212,666.5839192867279
129,130,-167842.59229521212,666.584685087204
130,131,-167842.59229521212,666.5855524539948
131,132,-167842.59229521212,666.5866096019745
132,133,-153646.67378364337,727.0040633678436
133,134,-143974.71352893033,727.0055384635925
134,135,-143974.71352893033,727.0069184303284
135,136,-143974.71352893033,727.0082516670227
136,137,-143974.71352893033,727.0096347332001
137,138,-143974.71352893033,727.0110166072845
138,139,-143974.71352893033,727.0124182701111
139,140,-143974.71352893033,727.0138099193573
140,141,-143974.71352893033,727.0151839256287
141,142,-143974.71352893033,727.0165009498596
142,143,-143974.71352893033,782.5531787872314
143,144,-143974.71352893033,782.5556488037109
144,145,-143974.71352893033,782.5577087402344
145,146,-143974.71352893033,782.5601809024811
146,147,-143974.71352893033,782.5622565746307
147,148,-143938.3346186732,782.5649423599243
148,149,-143938.3346186732,782.5666375160217
149,150,-143938.3346186732,782.5692462921143
150,151,-143938.3346186732,782.5842685699463
151,152,-143938.3346186732,782.5862855911255
152,153,-143938.3346186732,839.1681926250458
153,154,-143938.3346186732,839.1693334579468
154,155,-143938.3346186732,839.170731306076
155,156,-143938.3346186732,839.171790599823
156,157,-143938.3346186732,839.1727948188782
157,158,-143938.3346186732,839.1738905906677
158,159,-128815.09527391833,839.1749513149261
159,160,-128815.09527391833,839.1759989261627
160,161,-128815.09527391833,839.1769940853119
161,162,-128815.09527391833,839.1780514717102
162,163,-120556.24435663798,902.5478682518005
163,164,-120556.24435663798,902.5490248203278
164,165,-120556.24435663798,902.5500483512878
165,166,-120556.24435663798,902.5511043071747
166,167,-120556.24435663798,902.5521550178528
167,168,-120556.24435663798,902.5531599521637
168,169,-120556.24435663798,902.5542299747467
169,170,-120556.24435663798,902.555273771286
170,171,-120556.24435663798,902.5562739372253
171,172,-120556.24435663798,902.5577826499939
172,173,-120556.24435663798,957.5996081829071
173,174,-120556.24435663798,957.6006531715393
174,175,-120556.24435663798,957.6017656326294
175,176,-120556.24435663798,957.6028208732605
176,177,-120556.24435663798,957.6038672924042
177,178,-120556.24435663798,957.6049158573151
178,179,-120556.24435663798,957.6059811115265
179,180,-120556.24435663798,957.60697722435
180,181,-120556.24435663798,957.6079723834991
181,182,-120556.24435663798,957.6089808940887
182,183,-120556.24435663798,1059.7962756156921
183,184,-120556.24435663798,1059.7973194122314
184,185,-120556.24435663798,1059.7984404563904
185,186,-120556.24435663798,1059.7994904518127
186,187,-120556.24435663798,1059.8005394935608
187,188,-120556.24435663798,1059.8016021251678
188,189,-120556.24435663798,1059.802652835846
189,190,-120556.24435663798,1059.8036897182465
190,191,-120556.24435663798,1059.8046927452087
191,192,-120556.24435663798,1059.8057098388672
192,193,-114791.58105408215,1174.012617111206
193,194,-114791.58105408215,1174.0137748718262
194,195,-114791.58105408215,1174.0148322582245
195,196,-114791.58105408215,1174.015831708908
196,197,-114791.58105408215,1174.0168297290802
197,198,-114791.58105408215,1174.0270535945892
198,199,-114791.58105408215,1174.028549194336
199,200,-114791.58105408215,1174.029569864273
200,201,-114791.58105408215,1174.0371417999268
201,202,-114791.58105408215,1174.0382657051086
202,203,-114791.58105408215,1271.0809044837952
203,204,-114791.58105408215,1271.0825424194336
204,205,-114791.58105408215,1271.0835602283478
205,206,-114791.58105408215,1271.084669828415
206,207,-114791.58105408215,1271.0857186317444
207,208,-114791.58105408215,1271.0867207050323
208,209,-114791.58105408215,1271.0882217884064
209,210,-111775.95470384223,1271.0910577774048
210,211,-111775.95470384223,1271.0924942493439
211,212,-111775.95470384223,1271.0947580337524
212,213,-111775.95470384223,1346.4550449848175
213,214,-111775.95470384223,1346.4564127922058
214,215,-111775.95470384223,1346.458139181137
215,216,-68664.91319341122,1346.4596207141876
216,217,-56792.23247069045,1346.4610478878021
217,218,-56792.23247069045,1346.4725844860077
218,219,-56792.23247069045,1346.4742555618286
219,220,-56792.23247069045,1346.4758460521698
220,221,-56792.23247069045,1346.4774560928345
221,222,-56792.23247069045,1346.4789924621582
222,223,-56792.23247069045,1410.9481105804443
223,224,-56792.23247069045,1410.953013420105
224,225,-56792.23247069045,1410.9544434547424
225,226,-56792.23247069045,1410.9558365345001
226,227,-56792.23247069045,1410.9572134017944
227,228,-56792.23247069045,1410.9586069583893
228,229,-56792.23247069045,1410.9599878787994
229,230,-56792.23247069045,1410.9613490104675
230,231,-56792.23247069045,1410.962729215622
231,232,-56792.23247069045,1410.9640579223633
232,233,-56792.23247069045,1494.255347251892
233,234,-52656.8896691966,1494.256709575653
234,235,-52656.8896691966,1494.2581553459167
235,236,-52656.8896691966,1494.2595267295837
236,237,-52656.8896691966,1494.260838508606
237,238,-52656.8896691966,1494.2622203826904
238,239,-52656.8896691966,1494.2636065483093
239,240,-52656.8896691966,1494.2649767398834
240,241,-52656.8896691966,1494.266342163086
241,242,-52656.8896691966,1494.26766872406
242,243,-52656.8896691966,1571.9633257389069
243,244,-52656.8896691966,1571.9648921489716
244,245,-52656.8896691966,1571.9665265083313
245,246,-52656.8896691966,1571.968091726303
246,247,-52656.8896691966,1571.969650030136
247,248,-52656.8896691966,1571.9711711406708
248,249,-52656.8896691966,1571.9727520942688
249,250,-52656.8896691966,1571.9743371009827
250,251,-52656.8896691966,1571.9825217723846
251,252,-42922.841727395025,1571.9841165542603
252,253,-42922.841727395025,1658.8844957351685
253,254,-42922.841727395025,1658.8862917423248
