,x,y,t
0,1,-1695936.6555219041,0.0005199909210205078
1,2,-1695936.6555219041,0.0005590915679931641
2,3,-1695936.6555219041,0.0005936622619628906
3,4,-1695936.6555219041,0.0006265640258789062
4,5,-1695936.6555219041,0.0006592273712158203
5,6,-1695936.6555219041,0.0006918907165527344
6,7,-1695936.6555219041,0.0007243156433105469
7,8,-1695936.6555219041,0.0007562637329101562
8,9,-478397.49929273326,0.0007884502410888672
9,10,-478397.49929273326,0.0008208751678466797
10,11,-478397.49929273326,0.0008528232574462891
11,12,-478397.49929273326,0.000885009765625
12,13,-478397.49929273326,0.0009169578552246094
13,14,-478397.49929273326,0.0009491443634033203
14,15,-478397.49929273326,0.0009813308715820312
15,16,-478397.49929273326,0.0010135173797607422
16,17,-478397.49929273326,0.00104522705078125
17,18,-478397.49929273326,0.001077413558959961
18,19,-478397.49929273326,0.0011096000671386719
19,20,-478397.49929273326,0.0011413097381591797
20,21,-478397.49929273326,96.59761619567871
21,22,-272783.0534838197,96.59768271446228
22,23,-272783.0534838197,96.59772896766663
23,24,-272783.0534838197,96.5977737903595
24,25,-272783.0534838197,96.59781885147095
25,26,-272783.0534838197,96.59786343574524
26,27,-272783.0534838197,96.59792709350586
27,28,-272783.0534838197,96.59797167778015
28,29,-272783.0534838197,96.59801602363586
29,30,-272783.0534838197,96.59807062149048
30,31,-201224.26087182693,180.3744819164276
31,32,-201224.26087182693,180.37454390525818
32,33,-201224.26087182693,180.37459182739258
33,34,-201224.26087182693,180.3746371269226
34,35,-201224.26087182693,180.37468218803406
35,36,-201224.26087182693,180.3747274875641
36,37,-201224.26087182693,180.37478399276733
37,38,-201224.26087182693,180.3748276233673
38,39,-201224.26087182693,180.37487125396729
39,40,-201224.26087182693,180.37491607666016
40,41,-201224.26087182693,248.92931413650513
41,42,-201224.26087182693,248.92937326431274
42,43,-201224.26087182693,248.92941975593567
43,44,-201224.26087182693,248.92946457862854
44,45,-177941.58010103556,248.92950892448425
45,46,-177941.58010103556,248.92955422401428
46,47,-177941.58010103556,248.92959785461426
47,48,-177941.58010103556,248.9296431541443
48,49,-177941.58010103556,248.92968702316284
49,50,-177941.58010103556,248.92973160743713
50,51,-177941.58010103556,305.82786774635315
51,52,-177941.58010103556,305.8279242515564
52,53,-177941.58010103556,305.8279709815979
53,54,-177941.58010103556,305.82801604270935
54,55,-177941.58010103556,305.82806038856506
55,56,-177941.58010103556,305.8281047344208
56,57,-177941.58010103556,305.82814836502075
57,58,-177941.58010103556,305.82819151878357
58,59,-149020.68111885185,305.8282356262207
59,60,-149020.68111885185,305.8282823562622
60,61,-149020.68111885185,347.7938516139984
61,62,-149020.68111885185,347.7939088344574
62,63,-149020.68111885185,347.79395508766174
63,64,-149020.68111885185,347.7940001487732
64,65,-149020.68111885185,347.7940442562103
65,66,-149020.68111885185,347.79408860206604
66,67,-149020.68111885185,347.7941424846649
67,68,-149020.68111885185,347.7941858768463
68,69,-149020.68111885185,347.79422998428345
69,70,-149020.68111885185,347.7942736148834
70,71,-149020.68111885185,410.2077353000641
71,72,-149020.68111885185,410.2077805995941
72,73,-149020.68111885185,410.2078158855438
73,74,-149020.68111885185,410.2078506946564
74,75,-149020.68111885185,410.2078833580017
75,76,-149020.68111885185,410.2079164981842
76,77,-144086.14278418224,410.20794916152954
77,78,-144086.14278418224,410.2079813480377
78,79,-144086.14278418224,410.2080156803131
79,80,-144086.14278418224,410.20804810523987
80,81,-144086.14278418224,470.35610365867615
81,82,-144086.14278418224,470.356160402298
82,83,-144086.14278418224,470.3562066555023
83,84,-144086.14278418224,470.3562512397766
84,85,-144086.14278418224,470.35629534721375
85,86,-144086.14278418224,470.35633969306946
86,87,-96174.91462395313,470.3563838005066
87,88,-96174.91462395313,470.35642766952515
88,89,-96174.91462395313,470.3564713001251
89,90,-96174.91462395313,470.3565204143524
90,91,-96174.91462395313,529.3020224571228
91,92,-96174.91462395313,529.3020691871643
92,93,-96174.91462395313,529.3021047115326
93,94,-96174.91462395313,529.3021533489227
94,95,-96174.91462395313,529.3021864891052
95,96,-96174.91462395313,529.3022220134735
96,97,-96174.91462395313,529.3022546768188
97,98,-96174.91462395313,529.302286863327
98,99,-96174.91462395313,529.3023190498352
99,100,-96174.91462395313,529.3023517131805
100,101,-96174.91462395313,583.6172280311584
101,102,-96174.91462395313,583.6172850131989
102,103,-89347.06952020741,583.6173324584961
103,104,-89347.06952020741,583.6173770427704
104,105,-89347.06952020741,583.6174211502075
105,106,-89347.06952020741,583.6174654960632
106,107,-89347.06952020741,583.6175093650818
107,108,-89347.06952020741,583.6175541877747
108,109,-68772.30109102509,583.6176002025604
109,110,-68772.30109102509,583.6176445484161
110,111,-68772.30109102509,629.4827859401703
111,112,-68772.30109102509,629.4828419685364
112,113,-68772.30109102509,629.4828884601593
113,114,-68772.30109102509,629.482932806015
114,115,-63634.63309199647,629.4829769134521
115,116,-63634.63309199647,629.4830214977264
116,117,-63634.63309199647,629.483065366745
117,118,-63634.63309199647,629.483108997345
118,119,-63634.63309199647,629.4831528663635
119,120,-63634.63309199647,629.4831969738007
120,121,-63634.63309199647,681.118497133255
121,122,-63634.63309199647,681.1185538768768
122,123,-63634.63309199647,681.1186001300812
123,124,-63634.63309199647,681.1186454296112
124,125,-63634.63309199647,681.1186890602112
125,126,-62252.717096389984,681.1187341213226
126,127,-62252.717096389984,681.1187777519226
127,128,-62252.717096389984,681.118824005127
128,129,-62252.717096389984,681.1188676357269
129,130,-62252.717096389984,681.1189117431641
130,131,-62252.717096389984,745.5660531520844
131,132,-62252.717096389984,745.5661220550537
132,133,-62252.717096389984,745.5661702156067
133,134,-62252.717096389984,745.566214799881
134,135,-62252.717096389984,745.5662589073181
135,136,-62252.717096389984,745.5663034915924
136,137,-62252.717096389984,745.5663468837738
137,138,-62252.717096389984,745.5663900375366
138,139,-62252.717096389984,745.5664331912994
139,140,-62252.717096389984,745.5664777755737
140,141,-62252.717096389984,775.9702887535095
141,142,-54737.153725063334,775.970330953598
142,143,-54737.153725063334,775.9703664779663
143,144,-54737.153725063334,775.970400094986
144,145,-54737.153725063334,775.9704325199127
145,146,-54737.153725063334,775.970465183258
146,147,-54737.153725063334,775.9704976081848
147,148,-54737.153725063334,775.9705295562744
148,149,-54737.153725063334,775.970561504364
149,150,-54737.153725063334,775.9705965518951
150,151,-54737.153725063334,809.5294773578644
151,152,-54737.153725063334,809.5295188426971
152,153,-54737.153725063334,809.5295495986938
153,154,-54737.153725063334,809.5295782089233
