,x,y
0,24,-27.54889706916602
1,36,-27.54889706916602
2,48,-27.54889706916602
3,60,-27.54889706916602
4,72,-27.54889706916602
5,84,-16.364886920632
6,96,-16.364886920632
7,108,-16.364886920632
8,120,-16.364886920632
9,132,-16.364886920632
10,144,-16.277307625482734
11,156,-16.277307625482734
12,168,-6.631292705366541
13,180,-6.631292705366541
14,192,-6.631292705366541
15,204,-6.631292705366541
16,216,-6.631292705366541
17,228,-6.193412589045867
18,240,-5.391678175283951
19,252,-5.391678175283951
20,264,-5.370680090518026
21,276,-5.370680090518026
22,288,-5.370680090518026
23,300,-5.370680090518026
24,312,-5.370680090518026
25,324,-4.81674302044387
26,336,-4.81674302044387
27,348,-4.81674302044387
28,360,-4.81674302044387
29,372,-4.81674302044387
30,384,-4.662145850352191
31,396,-4.662145850352191
32,408,-4.662145850352191
33,420,-4.130658598823964
34,432,-3.996568087628355
35,444,-2.7816146273006113
36,456,-2.7816146273006113
37,468,-2.7816146273006113
38,480,-2.7816146273006113
39,492,-2.7816146273006113
40,504,-2.642118365332627
41,516,-2.642118365332627
42,528,-2.642118365332627
43,540,-2.3723986185094574
44,552,-2.3723986185094574
45,564,-2.28777073229912
46,576,-2.28777073229912
47,588,-2.28777073229912
48,600,-2.161661600106708
49,612,-1.9994704227410374
50,624,-1.9994704227410374
51,636,-1.9994704227410374
52,648,-1.9994704227410374
53,660,-1.9994704227410374
54,672,-1.8956284092082598
55,684,-1.8956284092082598
56,696,-1.8956284092082598
57,708,-1.856513010264187
58,720,-1.856513010264187
59,732,-1.856513010264187
60,744,-1.856513010264187
61,756,-1.856513010264187
62,768,-1.7785784484295455
63,780,-1.7785784484295455
64,792,-1.6148199525939908
65,798,-1.6148199525939908
66,810,-1.6068288865125457
67,822,-1.6068288865125457
68,834,-1.6068288865125457
69,846,-1.6068288865125457
70,858,-1.6057870064238782
71,870,-1.6057870064238782
72,882,-1.6057870064238782
73,894,-1.4177428455059264
74,906,-1.4177428455059264
75,918,-1.4177428455059264
76,930,-1.4177428455059264
77,942,-1.4177428455059264
78,954,-1.4177428455059264
79,966,-1.4177428455059264
80,978,-1.4177428455059264
81,990,-1.3738917386407796
82,1002,-1.3738917386407796
