,x,y
0,1,0.04843708383585803
1,2,0.04843708383585803
2,3,0.10023033231008026
3,4,0.10023033231008026
4,5,1.3616612533084647
5,6,1.3616612533084647
6,7,1.3616612533084647
7,8,1.3616612533084647
8,9,1.3616612533084647
9,10,1.3616612533084647
10,11,1.3616612533084647
11,12,1.3616612533084647
12,13,1.3616612533084647
13,14,1.3616612533084647
14,15,1.3616612533084647
15,16,1.3616612533084647
16,17,1.3616612533084647
17,18,1.3616612533084647
18,19,1.3616612533084647
19,20,1.3616612533084647
20,21,1.3616612533084647
21,22,1.3616612533084647
22,23,1.3616612533084647
23,24,1.3616612533084647
24,25,1.3616612533084647
25,26,1.3616612533084647
26,27,1.3616612533084647
27,28,1.3616612533084647
28,29,1.3616612533084647
29,30,[2.50622711]
30,31,[2.50622711]
31,32,[2.50622711]
32,33,[2.50622711]
33,34,[2.50622711]
34,35,[2.50622711]
35,36,[2.50622711]
36,37,[2.50622711]
37,38,[2.50622711]
38,39,[2.50622711]
39,40,[2.50622711]
40,41,[2.50622711]
41,42,[2.50622711]
42,43,[2.50622711]
43,44,[2.50622711]
44,45,[2.50622711]
45,46,[2.50622711]
46,47,[2.50622711]
47,48,[2.50622711]
48,49,[2.50622711]
49,50,[2.50622711]
50,51,[2.50622711]
51,52,[2.50622711]
52,53,[2.50622711]
53,54,[2.50622711]
54,55,[2.50622711]
55,56,[2.68501568]
56,57,[2.73763901]
57,58,[2.73763901]
58,59,[2.84298893]
59,60,[2.85863766]
60,61,[2.85863766]
61,62,[2.85863766]
62,63,[2.85863766]
63,64,[2.86577389]
64,65,[2.9561373]
65,66,[2.9561373]
66,67,[2.9561373]
67,68,[2.9561373]
68,69,[2.9561373]
69,70,[3.06503765]
70,71,[3.06503765]
71,72,[3.08999059]
72,73,[3.08999059]
73,74,[3.08999059]
74,75,[3.08999059]
75,76,[3.08999059]
76,77,[3.08999059]
77,78,[3.08999059]
78,79,[3.08999059]
79,80,[3.08999059]
80,81,[3.12315159]
81,82,[3.12315159]
82,83,[3.12315159]
83,84,[3.12315159]
84,85,[3.12828806]
85,86,[3.12828806]
86,87,[3.17442873]
87,88,[3.17442873]
88,89,[3.17442873]
89,90,[3.17442873]
90,91,[3.18694881]
91,92,[3.18694881]
92,93,[3.18694881]
93,94,[3.18694881]
94,95,[3.18694881]
95,96,[3.18694881]
96,97,[3.18694881]
97,98,[3.18694881]
98,99,[3.18694881]
99,100,[3.18694881]
100,101,[3.18694881]
101,102,[3.18694881]
102,103,[3.18990009]
103,104,[3.18990009]
104,105,[3.19724293]
105,106,[3.19724293]
106,107,[3.19724293]
107,108,[3.19724293]
108,109,[3.19724293]
109,110,[3.19724293]
110,111,[3.19724293]
111,112,[3.19724293]
112,113,[3.19724293]
113,114,[3.19724293]
114,115,[3.19724293]
115,116,[3.20027061]
116,117,[3.20027061]
117,118,[3.20027061]
118,119,[3.20027061]
119,120,[3.20027061]
120,121,[3.20027061]
121,122,[3.20027061]
122,123,[3.20027061]
123,124,[3.20027061]
124,125,[3.20027061]
125,126,[3.20027061]
126,127,[3.20158725]
127,128,[3.20158725]
128,129,[3.20202842]
