,x,y
0,1,-218.73362933075222
1,2,-43.37001083078788
2,3,-43.37001083078788
3,4,-43.37001083078788
4,5,-43.37001083078788
5,6,-43.37001083078788
6,7,-43.37001083078788
7,8,-43.37001083078788
8,9,-27.330437643323126
9,10,-27.330437643323126
10,11,-27.330437643323126
11,12,-27.330437643323126
12,13,-27.330437643323126
13,14,-27.330437643323126
14,15,-27.330437643323126
15,16,-27.330437643323126
16,17,-27.330437643323126
17,18,-27.330437643323126
18,19,-27.330437643323126
19,20,-27.330437643323126
20,21,-27.330437643323126
21,22,-27.330437643323126
22,23,-27.330437643323126
23,24,-27.330437643323126
24,25,-27.330437643323126
25,26,-27.330437643323126
26,27,-27.330437643323126
27,28,-27.330437643323126
28,29,-27.330437643323126
29,30,-27.330437643323126
30,31,-27.330437643323126
31,32,-27.330437643323126
32,33,-27.330437643323126
33,34,-27.330437643323126
34,35,-27.330437643323126
35,36,-27.330437643323126
36,37,-27.330437643323126
37,38,-27.330437643323126
38,39,-27.330437643323126
39,40,-27.330437643323126
40,41,-27.330437643323126
41,42,-27.330437643323126
42,43,[-26.48209285]
43,44,[-26.48209285]
44,45,[-26.48209285]
45,46,[-26.48209285]
46,47,[-26.48209285]
47,48,[-26.48209285]
48,49,[-26.48209285]
49,50,[-26.48209285]
50,51,[-26.48209285]
51,52,[-26.48209285]
52,53,[-26.48209285]
53,54,[-26.48209285]
54,55,[-26.48209285]
55,56,[-26.48209285]
56,57,[-26.48209285]
57,58,[-26.48209285]
58,59,[-26.48209285]
59,60,[-26.48209285]
60,61,[-26.48209285]
61,62,[-26.48209285]
62,63,[-26.48209285]
63,64,[-26.48209285]
64,65,[-26.48209285]
65,66,[-26.48209285]
66,67,[-26.48209285]
67,68,[-26.48209285]
68,69,[-26.48209285]
69,70,[-26.48209285]
70,71,[-26.48209285]
71,72,[-26.48209285]
72,73,[-26.48209285]
73,74,[-26.48209285]
74,75,[-26.48209285]
75,76,[-26.48209285]
76,77,[-26.48209285]
77,78,[-26.48209285]
78,79,[-26.48209285]
79,80,[-26.48209285]
80,81,[-26.48209285]
81,82,[-26.48209285]
82,83,[-26.48209285]
83,84,[-26.48209285]
84,85,[-26.48209285]
85,86,[-26.48209285]
86,87,[-26.48209285]
87,88,[-26.48209285]
88,89,[-26.48209285]
89,90,[-26.48209285]
90,91,[-26.48209285]
91,92,[-26.48209285]
92,93,[-26.48209285]
93,94,[-26.48209285]
94,95,[-26.48209285]
95,96,[-26.48209285]
96,97,[-26.48209285]
97,98,[-26.48209285]
98,99,[-26.48209285]
99,100,[-26.48209285]
100,101,[-26.48209285]
101,102,[-24.561041]
102,103,[-22.04574613]
103,104,[-21.57060263]
104,105,[-21.57060263]
105,106,[-21.57060263]
106,107,[-21.57060263]
107,108,[-21.57060263]
108,109,[-21.57060263]
109,110,[-21.57060263]
110,111,[-21.57060263]
111,112,[-21.57060263]
112,113,[-21.57060263]
113,114,[-21.57060263]
114,115,[-21.57060263]
115,116,[-21.57060263]
116,117,[-21.57060263]
117,118,[-21.57060263]
118,119,[-21.57060263]
119,120,[-21.05045327]
120,121,[-21.05045327]
121,122,[-21.05045327]
122,123,[-21.05045327]
123,124,[-21.05045327]
124,125,[-20.3889713]
125,126,[-20.3889713]
126,127,[-20.3889713]
127,128,[-20.3889713]
128,129,[-20.3889713]
129,130,[-20.36730465]
130,131,[-20.15735792]
131,132,[-20.15735792]
132,133,[-20.15735792]
133,134,[-20.15735792]
134,135,[-20.15735792]
135,136,[-20.15735792]
136,137,[-20.15735792]
137,138,[-20.15735792]
138,139,[-20.15735792]
139,140,[-20.15735792]
140,141,[-20.15735792]
141,142,[-20.15735792]
142,143,[-19.7324682]
143,144,[-19.7324682]
144,145,[-19.7324682]
145,146,[-19.7324682]
146,147,[-19.7324682]
147,148,[-19.42735019]
148,149,[-19.42735019]
149,150,[-19.42735019]
150,151,[-19.42735019]
151,152,[-19.42735019]
152,153,[-19.42735019]
153,154,[-19.42735019]
154,155,[-19.42735019]
155,156,[-19.1991315]
156,157,[-19.1991315]
157,158,[-19.14926769]
158,159,[-19.14926769]
159,160,[-19.14926769]
160,161,[-19.14926769]
161,162,[-19.14926769]
162,163,[-19.14926769]
163,164,[-18.96326491]
164,165,[-18.96326491]
165,166,[-18.96326491]
166,167,[-18.96326491]
167,168,[-18.96326491]
168,169,[-18.95791719]
169,170,[-18.95791719]
170,171,[-18.95791719]
171,172,[-18.95791719]
172,173,[-18.95791719]
173,174,[-18.85210881]
174,175,[-18.85210881]
175,176,[-18.85210881]
176,177,[-18.82619803]
177,178,[-18.82619803]
178,179,[-18.82619803]
179,180,[-18.82619803]
180,181,[-18.82619803]
181,182,[-18.82531673]
182,183,[-18.82531673]
183,184,[-18.82531673]
184,185,[-18.82531673]
185,186,[-18.82531673]
186,187,[-18.82531673]
