,x,y
0,10,-140.13214210374144
1,13,-140.13214210374144
2,16,-140.13214210374144
3,19,-140.13214210374144
4,22,-140.13214210374144
5,25,-140.13214210374144
6,28,-140.13214210374144
7,31,-140.13214210374144
8,34,-140.13214210374144
9,37,-140.13214210374144
10,40,-140.13214210374144
11,43,-128.89169192782668
12,46,-128.89169192782668
13,49,-115.55990177604201
14,52,-115.55990177604201
15,55,-115.55990177604201
16,58,-115.55990177604201
17,61,-115.55990177604201
18,64,-115.55990177604201
19,67,-115.55990177604201
20,70,-115.55990177604201
21,73,-115.55990177604201
22,76,-115.55990177604201
23,79,-115.55990177604201
24,82,-115.55990177604201
25,85,-115.55990177604201
26,88,-115.55990177604201
27,91,-106.91807455676022
28,94,-104.70563449895701
29,97,-101.89244361096127
30,100,-96.44605910526207
31,103,-96.44605910526207
32,106,-96.44605910526207
33,109,-96.44605910526207
34,112,-96.44605910526207
35,115,-74.99309635489561
36,118,-73.68359603893181
37,121,-73.68359603893181
38,124,-73.68359603893181
39,127,-73.68359603893181
40,130,-73.68359603893181
41,133,-73.68359603893181
42,136,-56.980236415403525
43,139,-56.980236415403525
44,142,-56.980236415403525
45,145,-56.980236415403525
46,148,-56.980236415403525
47,151,-56.980236415403525
48,154,-56.980236415403525
49,157,-45.32529390497474
50,160,-45.32529390497474
51,163,-45.32529390497474
52,166,-45.32529390497474
53,169,-45.32529390497474
54,172,-45.32529390497474
55,175,-45.32529390497474
56,178,-45.32529390497474
57,181,-45.32529390497474
58,184,-45.32529390497474
59,187,-45.32529390497474
60,190,-45.32529390497474
61,193,-45.32529390497474
62,196,-45.32529390497474
63,199,-40.85524901443606
64,202,-40.85524901443606
65,205,-40.28668641638775
66,208,-40.28668641638775
67,211,-40.28668641638775
68,214,-40.28668641638775
69,217,-40.28668641638775
70,220,-40.28668641638775
71,223,-40.28668641638775
72,226,-40.28668641638775
73,229,-38.67524471640873
74,232,-38.67524471640873
75,235,-33.6864889147573
76,238,-33.6864889147573
77,241,-33.6864889147573
78,244,-33.6864889147573
79,247,-33.6864889147573
80,250,-33.6864889147573
81,253,-33.6864889147573
82,256,-33.6864889147573
83,259,-33.6864889147573
84,262,-27.85417636879383
85,265,-27.85417636879383
86,268,-26.76323391486694
87,271,-26.76323391486694
88,274,-24.1753288749361
89,277,-24.1753288749361
90,280,-24.1753288749361
91,283,-24.1753288749361
92,286,-24.1753288749361
93,289,-24.1753288749361
94,292,-24.1753288749361
95,295,-24.1753288749361
96,298,-24.1753288749361
97,301,-24.1753288749361
98,304,-24.1753288749361
99,307,-24.1753288749361
100,310,-24.1753288749361
101,313,-21.47005618182163
102,316,-21.47005618182163
103,319,-17.468521560028172
104,322,-17.468521560028172
105,325,-17.468521560028172
106,328,-17.468521560028172
107,331,-17.468521560028172
108,334,-17.468521560028172
109,337,-17.468521560028172
110,340,-17.468521560028172
111,343,-17.468521560028172
112,346,-17.468521560028172
113,349,-17.468521560028172
114,352,-17.468521560028172
115,355,-17.468521560028172
116,358,-17.468521560028172
117,361,-17.468521560028172
118,364,-17.468521560028172
119,367,-17.468521560028172
120,370,-15.590122972661552
121,373,-15.590122972661552
122,376,-15.590122972661552
123,379,-15.590122972661552
124,382,-15.590122972661552
125,385,-15.590122972661552
126,388,-15.590122972661552
127,391,-15.590122972661552
128,394,-15.590122972661552
129,397,-15.590122972661552
130,400,-15.590122972661552
131,403,-15.590122972661552
132,406,-15.590122972661552
133,409,-15.590122972661552
134,412,-15.590122972661552
135,415,-15.590122972661552
136,418,-15.590122972661552
137,421,-15.590122972661552
138,424,-15.590122972661552
139,427,-15.590122972661552
140,430,-15.590122972661552
141,433,-15.590122972661552
142,436,-15.590122972661552
143,439,-15.590122972661552
144,442,-15.590122972661552
145,445,-15.590122972661552
146,448,-15.590122972661552
147,451,-15.590122972661552
148,454,-15.590122972661552
149,457,-15.590122972661552
150,460,-15.099209930975732
151,463,-15.099209930975732
152,466,-14.569724201354285
153,469,-14.569724201354285
154,472,-14.569724201354285
155,475,-14.569724201354285
156,478,-14.569724201354285
157,481,-14.569724201354285
158,484,-14.569724201354285
159,487,-14.569724201354285
160,490,-14.569724201354285
161,493,-14.569724201354285
162,496,-14.569724201354285
163,499,-14.569724201354285
164,502,-14.569724201354285
165,505,-14.569724201354285
166,508,-14.569724201354285
167,511,-13.937874141934227
168,514,-13.937874141934227
169,517,-13.937874141934227
170,520,-13.937874141934227
171,523,-13.937874141934227
172,526,-13.937874141934227
173,529,-13.937874141934227
174,532,-13.937874141934227
175,535,-13.937874141934227
176,538,-12.139098426473376
177,541,-12.139098426473376
178,544,-12.062114908611367
179,547,-12.062114908611367
180,550,-12.062114908611367
181,553,-12.062114908611367
182,556,-12.062114908611367
183,559,-12.062114908611367
184,562,-12.062114908611367
185,565,-12.062114908611367
186,568,-12.062114908611367
187,571,-12.062114908611367
188,574,-12.062114908611367
189,577,-12.062114908611367
190,580,-12.062114908611367
191,583,-12.062114908611367
192,586,-12.062114908611367
193,589,-12.062114908611367
194,592,-12.062114908611367
195,595,-12.062114908611367
196,598,-11.948709139486853
197,601,-11.948709139486853
198,604,-11.948709139486853
199,607,-11.948709139486853
200,610,-11.948709139486853
201,613,-11.948709139486853
202,616,-11.948709139486853
203,619,-11.948709139486853
204,622,-11.948709139486853
205,625,-11.948709139486853
206,628,-11.948709139486853
207,631,-11.193578160844455
208,634,-9.609045339415875
209,637,-9.609045339415875
210,640,-9.609045339415875
211,643,-9.609045339415875
212,646,-9.609045339415875
213,649,-9.609045339415875
214,652,-9.609045339415875
215,655,-9.609045339415875
216,658,-9.609045339415875
217,661,-9.609045339415875
218,664,-9.609045339415875
219,667,-9.609045339415875
220,670,-9.609045339415875
