,x,y,t
0,1,-133.6166102676224,0.0036602020263671875
1,2,-122.87319926949927,0.0040740966796875
2,3,-32.71636905683065,0.004460573196411133
3,4,-32.71636905683065,0.0065386295318603516
4,5,-32.71636905683065,0.006936550140380859
5,6,-32.71636905683065,0.0073490142822265625
6,7,-32.71636905683065,0.00940394401550293
7,8,-32.24007707774365,0.00980067253112793
8,9,-32.24007707774365,0.010191917419433594
9,10,-32.24007707774365,0.01229715347290039
10,11,-32.24007707774365,0.012681961059570312
11,12,-32.24007707774365,0.01305699348449707
12,13,-32.24007707774365,84.16035652160645
13,14,-32.24007707774365,84.1635570526123
14,15,-32.24007707774365,84.16672563552856
15,16,-32.24007707774365,84.169846534729
16,17,-32.24007707774365,84.17294192314148
17,18,-32.24007707774365,84.17606568336487
18,19,-32.24007707774365,84.17922163009644
19,20,-32.24007707774365,84.18238711357117
20,21,-32.24007707774365,84.18587827682495
21,22,-32.24007707774365,84.1893424987793
22,23,-32.24007707774365,168.39702248573303
23,24,-29.48514571779951,168.40051364898682
24,25,-29.48514571779951,168.41981530189514
25,26,-29.48514571779951,168.42305827140808
26,27,-29.48514571779951,168.42633175849915
27,28,-29.48514571779951,168.42962551116943
28,29,-29.48514571779951,168.43292212486267
29,30,-29.48514571779951,168.443500995636
30,31,-29.48514571779951,168.44673585891724
31,32,-29.48514571779951,168.44998407363892
32,33,-29.48514571779951,252.9509973526001
33,34,-29.48514571779951,252.95446491241455
34,35,-29.48514571779951,252.95770621299744
35,36,-29.48514571779951,252.97722148895264
36,37,-29.48514571779951,252.98058700561523
37,38,-29.48514571779951,252.9838593006134
38,39,-29.48514571779951,252.98727416992188
39,40,-29.48514571779951,252.99087762832642
40,41,-29.48514571779951,253.01053881645203
41,42,-29.48514571779951,253.0140781402588
42,43,-29.48514571779951,340.36963748931885
43,44,-29.48514571779951,340.37403416633606
44,45,-29.48514571779951,340.3772945404053
45,46,-26.73856210957957,340.38052439689636
46,47,-26.73856210957957,340.3853530883789
47,48,-26.73856210957957,340.3885979652405
48,49,-26.73856210957957,340.3918180465698
49,50,-26.73856210957957,340.39498805999756
50,51,-26.73856210957957,340.41572999954224
51,52,-26.73856210957957,340.4188084602356
52,53,-26.73856210957957,440.6608817577362
53,54,-26.73856210957957,440.68872356414795
54,55,-26.73856210957957,440.6919150352478
55,56,-26.73856210957957,440.69521498680115
56,57,-26.73856210957957,440.6984324455261
57,58,-26.73856210957957,440.7015700340271
58,59,-26.73856210957957,440.7048125267029
59,60,-26.73856210957957,440.70805406570435
60,61,-26.73856210957957,440.7113046646118
61,62,-26.73856210957957,440.7145643234253
62,63,-26.73856210957957,542.72381067276
63,64,-26.73856210957957,542.7266297340393
64,65,-26.73856210957957,542.7293500900269
65,66,-26.73856210957957,542.732057094574
66,67,-26.73856210957957,542.7350602149963
67,68,-26.73856210957957,542.7379190921783
68,69,-26.73856210957957,542.7567803859711
69,70,-26.73856210957957,542.7596437931061
70,71,-26.73856210957957,542.762443780899
71,72,-26.73856210957957,542.7653071880341
72,73,-25.99628543750135,644.3828201293945
73,74,-25.99628543750135,644.3859355449677
74,75,-25.99628543750135,644.3886830806732
75,76,-25.99628543750135,644.392246723175
76,77,-25.99628543750135,644.4125411510468
77,78,-25.99628543750135,644.4154555797577
78,79,-25.99628543750135,644.4181640148163
79,80,-25.99628543750135,644.4210238456726
80,81,-25.99628543750135,644.4238834381104
81,82,-25.99628543750135,644.4266905784607
82,83,-25.99628543750135,745.8845801353455
83,84,-25.99628543750135,745.8876733779907
84,85,-22.593657048249877,745.8905215263367
85,86,-22.593657048249877,745.8933851718903
86,87,-22.593657048249877,745.8962259292603
87,88,-22.593657048249877,745.9150860309601
88,89,-22.593657048249877,745.9177978038788
89,90,-22.593657048249877,745.9205455780029
90,91,-22.593657048249877,745.9233911037445
91,92,-22.593657048249877,745.9260830879211
92,93,-22.593657048249877,850.5066339969635
93,94,-22.593657048249877,850.5094885826111
94,95,-22.593657048249877,850.5285007953644
95,96,-22.593657048249877,850.531364440918
96,97,-22.593657048249877,850.534054517746
97,98,-20.26862872478067,850.5369830131531
98,99,-20.26862872478067,850.5398771762848
99,100,-20.26862872478067,850.5427072048187
100,101,-20.26862872478067,850.5622873306274
101,102,-20.26862872478067,850.56511926651
102,103,-20.26862872478067,954.2531435489655
103,104,-20.26862872478067,954.2800126075745
104,105,-20.26862872478067,954.2829928398132
105,106,-20.26862872478067,954.2858603000641
106,107,-20.26862872478067,954.2887032032013
107,108,-20.26862872478067,954.2915816307068
108,109,-20.26862872478067,954.2942521572113
109,110,-19.29196769629208,954.3131392002106
