,x,y,t
0,1,-301.62128034517355,0.08766794204711914
1,2,-301.62128034517355,0.33526062965393066
2,3,-301.62128034517355,0.6093857288360596
3,4,-301.62128034517355,0.9051270484924316
4,5,-301.62128034517355,1.3884050846099854
5,6,-301.62128034517355,1.759803056716919
6,7,-301.62128034517355,2.078073501586914
7,8,-301.62128034517355,2.454545736312866
8,9,-301.62128034517355,203.90843224525452
9,10,-301.62128034517355,431.12406492233276
10,11,-301.62128034517355,561.7429609298706
11,12,-301.62128034517355,826.1177308559418
12,13,-301.62128034517355,1018.6656181812286
13,14,-301.62128034517355,1220.3224749565125
14,15,-301.62128034517355,1299.5057368278503
15,16,-301.62128034517355,1795.6217577457428
16,17,-301.62128034517355,1897.5780596733093
17,18,-301.62128034517355,2181.949756860733
18,19,-301.62128034517355,2533.985855817795
19,20,-301.62128034517355,2974.5982325077057
20,21,-301.62128034517355,3195.9821679592133
21,22,-301.62128034517355,3549.6296021938324
22,23,-301.62128034517355,3985.1579055786133
23,24,-301.62128034517355,4237.132105112076
24,25,-301.62128034517355,4738.938935995102
25,26,-301.62128034517355,5173.3142211437225
26,27,-301.62128034517355,5499.978873729706
27,28,-301.62128034517355,5980.116591930389
28,29,-301.62128034517355,6717.954433441162
29,30,-301.62128034517355,7129.750381946564
30,31,-301.62128034517355,7661.386601924896
31,32,-301.62128034517355,8039.430557250977
32,33,-301.62128034517355,8384.89508509636
33,34,-301.62128034517355,9100.130311012268
34,35,-301.62128034517355,10415.914551496506
35,36,-301.62128034517355,10777.502617120743
36,37,-301.62128034517355,12793.203323364258
37,38,-301.62128034517355,13392.731033802032
38,39,-301.62128034517355,14538.042664527893
39,40,-301.62128034517355,14953.79373717308
40,41,-301.62128034517355,17671.247443199158
41,42,-301.62128034517355,18122.203245401382
42,43,-301.62128034517355,18541.951035261154
43,44,-287.5290590670729,19077.194813728333
44,45,-287.5290590670729,21363.291976690292
45,46,-287.5290590670729,21842.035179376602
46,47,-287.5290590670729,23095.243411064148
47,48,-287.5290590670729,23610.15912628174
48,49,-287.5290590670729,25787.863404273987
49,50,-287.5290590670729,26445.98701763153
50,51,-287.5290590670729,27481.56813120842
51,52,-287.5290590670729,28166.81528186798
52,53,-248.38468954849293,28920.1557366848
53,54,-248.38468954849293,29347.48773598671
54,55,-248.38468954849293,30061.687517642975
55,56,-248.38468954849293,31148.479425907135
56,57,-248.38468954849293,31859.3523542881
57,58,-248.38468954849293,32430.047791719437
58,59,-248.38468954849293,33440.015679359436
59,60,-248.38468954849293,34178.41190838814
60,61,-248.38468954849293,35078.692256212234
61,62,-248.38468954849293,35813.81997227669
62,63,-248.38468954849293,36981.61241316795
63,64,-248.38468954849293,37840.55984425545
64,65,-248.38468954849293,39061.58452630043
65,66,-248.38468954849293,39892.755970954895
66,67,-248.38468954849293,43872.724434137344
67,68,-248.38468954849293,45724.736669540405
68,69,-248.38468954849293,47214.12874031067
69,70,-248.38468954849293,48035.16860675812
70,71,-248.38468954849293,49926.300684690475
71,72,-248.38468954849293,50948.460567712784
72,73,-248.38468954849293,53968.19711518288
73,74,-248.38468954849293,54608.03260946274
74,75,-248.38468954849293,58105.52912259102
75,76,-248.38468954849293,58581.09643268585
76,77,-248.38468954849293,60402.69329929352
77,78,-248.38468954849293,60685.34478330612
78,79,-248.38468954849293,62658.37716269493
79,80,-248.38468954849293,63163.07342481613
80,81,-248.38468954849293,63682.273517370224
81,82,-248.38468954849293,64091.652701854706
82,83,-248.38468954849293,66220.25309753418
83,84,-248.38468954849293,66415.33754014969
84,85,-248.38468954849293,67745.80121707916
85,86,-248.38468954849293,67946.28975820541
86,87,-248.38468954849293,69457.09334564209
87,88,-248.38468954849293,70062.74139356613
88,89,-248.38468954849293,71620.90371394157
89,90,-248.38468954849293,71684.98935389519
90,91,-248.38468954849293,73819.67781591415
91,92,-248.38468954849293,74164.03399825096
92,93,-248.38468954849293,75899.60601377487
93,94,-248.38468954849293,76483.01764464378
94,95,-248.38468954849293,77733.57415628433
95,96,-248.38468954849293,77894.229793787
96,97,-248.38468954849293,79374.98316526413
97,98,-248.38468954849293,80694.26161837578
98,99,-248.38468954849293,82022.79121994972
99,100,-248.38468954849293,82116.91925883293
100,101,-248.38468954849293,83917.94701695442
101,102,-248.38468954849293,84611.03025126457
102,103,-248.38468954849293,84690.38250565529
103,104,-248.38468954849293,84921.65665245056
104,105,-248.38468954849293,86063.79512786865
105,106,-248.38468954849293,86659.89864778519
106,107,-248.38468954849293,87165.83949351311
107,108,-248.38468954849293,87251.69829726219
108,109,-248.38468954849293,88192.55887699127
109,110,-248.38468954849293,88493.67524886131
110,111,-248.38468954849293,89000.6911752224
111,112,-248.38468954849293,89255.06697106361
112,113,-248.38468954849293,90110.6669652462
113,114,-248.38468954849293,91285.0909614563
114,115,-248.38468954849293,91776.07927131653
115,116,-248.38468954849293,91883.15863204002
116,117,-248.38468954849293,92411.60744738579
117,118,-248.38468954849293,93436.81103277206
118,119,-248.38468954849293,94874.87133932114
119,120,-248.38468954849293,95274.64145469666
120,121,-248.38468954849293,96342.49689936638
121,122,-248.38468954849293,96672.59570813179
122,123,-248.38468954849293,97222.91940116882
123,124,-248.38468954849293,97306.01524782181
124,125,-248.38468954849293,97979.31954073906
125,126,-248.38468954849293,98350.45938372612
126,127,-248.38468954849293,98790.42768740654
127,128,-248.38468954849293,98899.39164233208
128,129,-248.38468954849293,99497.96006441116
129,130,-248.38468954849293,99567.11149430275
130,131,-248.38468954849293,100210.65596580505
131,132,-248.38468954849293,100299.38133502007
132,133,-248.38468954849293,100844.3441414833
133,134,-248.38468954849293,100914.79989719391
134,135,-248.38468954849293,101343.82431530952
135,136,-248.38468954849293,101433.83332586288
136,137,-248.38468954849293,101944.54243087769
137,138,-248.38468954849293,102505.4893579483
138,139,-248.38468954849293,102982.14493894577
139,140,-248.38468954849293,103081.25522661209
140,141,-248.38468954849293,103170.96098661423
141,142,-248.38468954849293,103627.98459529877
142,143,-248.38468954849293,103800.02371382713
143,144,-248.38468954849293,104074.06069493294
144,145,-248.38468954849293,104489.63505125046
145,146,-248.38468954849293,104821.74387359619
146,147,-248.38468954849293,105819.56083917618
147,148,-248.38468954849293,106051.2769973278
148,149,-248.38468954849293,107210.76909375191
149,150,-248.38468954849293,107876.57273340225
