,x,y,t
0,1,-124.6041160473192,0.02530837059020996
1,2,-124.6041160473192,0.12765264511108398
2,3,-124.35212229060252,2.9643609523773193
3,4,-124.35212229060252,5.845616817474365
4,5,-120.79195633027756,8.09039306640625
5,6,-120.79195633027756,10.46407961845398
6,7,-93.38654073817717,13.273234367370605
7,8,-93.38654073817717,15.918400526046753
8,9,-93.38654073817717,18.934948205947876
9,10,-93.38654073817717,22.60849380493164
10,11,-88.36340369423493,26.53636646270752
11,12,-88.36340369423493,30.375492095947266
12,13,-88.36340369423493,35.41203451156616
13,14,-88.36340369423493,46.66064667701721
14,15,-88.36340369423493,59.621880769729614
15,16,-68.22617973460527,69.80274415016174
16,17,-68.22617973460527,77.07649302482605
17,18,-68.22617973460527,90.0408992767334
18,19,-68.22617973460527,100.48649191856384
19,20,-68.22617973460527,113.6876847743988
20,21,-29.357532589709017,127.02810025215149
21,22,-16.85837712794521,136.09882879257202
22,23,-16.85837712794521,140.03567385673523
23,24,-16.85837712794521,143.58852863311768
24,25,-16.85837712794521,147.55971312522888
25,26,-16.85837712794521,151.59781527519226
26,27,-16.428543814355372,152.83993816375732
27,28,-13.189590937013612,171.89390420913696
28,29,-13.189590937013612,173.33339715003967
29,30,-13.189590937013612,173.9523057937622
30,31,-13.189590937013612,190.2810366153717
31,32,-13.189590937013612,190.86768889427185
32,33,-12.309591589509981,215.6243245601654
33,34,-12.309591589509981,216.2393729686737
34,35,-12.309591589509981,216.8646113872528
35,36,-12.309591589509981,227.74185729026794
36,37,-10.768834264195531,236.57185435295105
37,38,-10.768834264195531,244.9334568977356
38,39,-10.559694208093124,265.00253772735596
39,40,-10.559694208093124,275.8710618019104
40,41,-10.559694208093124,284.6061074733734
41,42,-9.891799128170296,293.47114968299866
42,43,-9.891799128170296,300.51054310798645
43,44,-8.957794705611295,309.19977021217346
44,45,-8.957794705611295,313.22854137420654
45,46,-8.957794705611295,334.5200574398041
46,47,-8.675080456687928,342.88718819618225
47,48,-8.675080456687928,348.8529188632965
48,49,-8.675080456687928,358.0777895450592
49,50,-8.675080456687928,363.27670788764954
50,51,-8.675080456687928,389.4273488521576
51,52,-8.60908105582673,396.0657172203064
52,53,-8.60908105582673,403.73250007629395
53,54,-8.60908105582673,415.06600880622864
54,55,-8.60908105582673,423.78185200691223
55,56,-8.60908105582673,432.531996011734
56,57,-8.60908105582673,445.27523279190063
57,58,-8.60908105582673,464.6688029766083
58,59,-8.60908105582673,483.00342082977295
59,60,-8.60908105582673,503.79452896118164
60,61,-8.60908105582673,515.0737783908844
61,62,-8.60908105582673,520.8936476707458
62,63,-8.078421912599214,545.2220795154572
63,64,-8.078421912599214,563.7651188373566
64,65,-8.078421912599214,566.8647725582123
65,66,-8.078421912599214,570.1011946201324
66,67,-8.078421912599214,589.00572681427
67,68,-8.078421912599214,593.8403046131134
68,69,-8.078421912599214,623.0568540096283
69,70,-7.892825883425472,637.8260679244995
70,71,-7.892825883425472,656.0090250968933
71,72,-7.892825883425472,668.0425462722778
72,73,-7.892825883425472,675.0559656620026
73,74,-7.102977994858575,685.7525961399078
74,75,-7.102977994858575,688.4436304569244
75,76,-7.102977994858575,691.7385790348053
76,77,-7.102977994858575,694.4437003135681
77,78,-6.876409279217424,722.6037676334381
78,79,-6.876409279217424,729.6651644706726
79,80,-6.876409279217424,733.4682590961456
80,81,-6.876409279217424,738.4140808582306
81,82,-6.876409279217424,742.3371398448944
82,83,-6.876409279217424,750.4021339416504
83,84,-6.876409279217424,753.2170178890228
84,85,-6.876409279217424,759.5101981163025
85,86,-6.876409279217424,762.9089829921722
86,87,-6.876409279217424,766.7889859676361
87,88,-6.876409279217424,773.1169574260712
88,89,-6.876409279217424,777.1288628578186
89,90,-6.876409279217424,781.9742243289948
90,91,-6.876409279217424,787.3169224262238
91,92,-6.876409279217424,791.3811430931091
92,93,-6.876409279217424,794.949832201004
93,94,-6.876409279217424,798.8738169670105
94,95,-6.876409279217424,808.127578496933
95,96,-6.876409279217424,813.8782434463501
96,97,-6.876409279217424,818.1621222496033
97,98,-6.876409279217424,821.8586852550507
98,99,-6.876409279217424,837.6620652675629
99,100,-6.876409279217424,843.4126400947571
100,101,-6.876409279217424,849.4971494674683
101,102,-6.876409279217424,852.7154703140259
102,103,-6.876409279217424,857.8145871162415
103,104,-6.876409279217424,862.9162757396698
104,105,-6.876409279217424,875.0365433692932
105,106,-6.876409279217424,883.0203938484192
106,107,-6.876409279217424,887.5996134281158
107,108,-6.876409279217424,891.3101832866669
108,109,-6.876409279217424,895.4001231193542
109,110,-6.876409279217424,902.2724132537842
110,111,-6.876409279217424,908.9877049922943
111,112,-6.876409279217424,917.8779585361481
112,113,-6.876409279217424,924.4001638889313
113,114,-6.876409279217424,927.7208127975464
114,115,-6.876409279217424,942.7845242023468
115,116,-6.876409279217424,972.8020322322845
116,117,-6.876409279217424,976.7727227210999
117,118,-6.876409279217424,986.1756827831268
118,119,-6.876409279217424,989.8344404697418
119,120,-6.876409279217424,1004.0809540748596
120,121,-6.876409279217424,1016.484881401062
121,122,-6.876409279217424,1019.817342042923
122,123,-6.543860278127909,1031.146740436554
123,124,-6.543860278127909,1036.7758049964905
124,125,-6.543860278127909,1043.8396747112274
125,126,-6.214967428442958,1054.0274877548218
126,127,-6.166530025226996,1057.26881980896
127,128,-6.166530025226996,1063.6085715293884
128,129,-6.166530025226996,1086.5996768474579
129,130,-6.143806969242873,1108.050565958023
130,131,-6.143806969242873,1110.7260572910309
131,132,-6.143806969242873,1142.2225544452667
132,133,-6.143806969242873,1160.0394220352173
133,134,-6.143806969242873,1165.6034243106842
134,135,-6.143806969242873,1167.6033880710602
135,136,-6.143806969242873,1169.5300993919373
136,137,-6.143806969242873,1173.7757937908173
137,138,-6.143806969242873,1175.7295422554016
138,139,-6.143806969242873,1181.539395570755
139,140,-6.143806969242873,1240.273129940033
140,141,-6.06192335045277,1247.1857125759125
141,142,-6.06192335045277,1249.3206708431244
142,143,-6.06192335045277,1260.7431535720825
143,144,-6.06192335045277,1267.5238440036774
144,145,-6.06192335045277,1278.4225969314575
145,146,-6.06192335045277,1282.5179524421692
146,147,-6.0321760179397685,1310.3541882038116
147,148,-6.0321760179397685,1334.5741574764252
148,149,-6.0321760179397685,1339.0623347759247
149,150,-6.0321760179397685,1366.696167230606
150,151,-6.0321760179397685,1405.7014408111572
151,152,-6.0321760179397685,1416.1791048049927
152,153,-6.0321760179397685,1466.1566288471222
153,154,-6.0321760179397685,1474.7819538116455
154,155,-6.0321760179397685,1477.1913368701935
155,156,-6.0321760179397685,1510.4230012893677
156,157,-6.0321760179397685,1525.166564464569
157,158,-6.0321760179397685,1561.8095977306366
158,159,-6.0321760179397685,1604.9651551246643
159,160,-6.0321760179397685,1642.399851322174
160,161,-6.0321760179397685,1670.7267005443573
161,162,-6.0321760179397685,1703.4310157299042
162,163,-6.0321760179397685,1725.8136026859283
163,164,-6.0321760179397685,1764.482787847519
164,165,-6.0321760179397685,1794.381996870041
165,166,-6.0321760179397685,1831.6295776367188
166,167,-6.0321760179397685,1866.7330088615417
167,168,-6.0321760179397685,1910.897308588028
168,169,-6.0321760179397685,1928.4749975204468
169,170,-6.0321760179397685,1948.4516606330872
170,171,-6.0321760179397685,1958.1033642292023
171,172,-6.0321760179397685,1970.8533506393433
172,173,-6.0321760179397685,1992.3952689170837
173,174,-6.0321760179397685,2011.274997472763
174,175,-6.0321760179397685,2031.2240238189697
175,176,-6.0321760179397685,2050.216263771057
176,177,-6.0321760179397685,2072.3162727355957
177,178,-6.0321760179397685,2090.632035970688
178,179,-6.0321760179397685,2115.1742203235626
179,180,-6.0321760179397685,2129.8912873268127
180,181,-6.0321760179397685,2149.8908200263977
181,182,-6.0321760179397685,2163.4266624450684
182,183,-6.0321760179397685,2190.3484165668488
183,184,-6.0321760179397685,2202.310433626175
184,185,-6.0321760179397685,2229.700464963913
185,186,-6.0321760179397685,2244.8011240959167
186,187,-6.0321760179397685,2260.9470744132996
187,188,-6.0321760179397685,2281.1102526187897
188,189,-6.0321760179397685,2293.9879021644592
189,190,-6.0321760179397685,2299.1838965415955
190,191,-6.0321760179397685,2310.2876138687134
191,192,-6.0321760179397685,2325.9404311180115
192,193,-6.0321760179397685,2333.884512901306
193,194,-6.0321760179397685,2360.8293068408966
194,195,-6.0321760179397685,2387.3780748844147
195,196,-6.0321760179397685,2397.2568414211273
196,197,-6.0321760179397685,2418.7267322540283
197,198,-6.0321760179397685,2436.8821420669556
198,199,-6.0321760179397685,2460.284509420395
199,200,-6.0321760179397685,2471.121818780899
200,201,-6.0321760179397685,2481.8520033359528
201,202,-6.0321760179397685,2504.476089477539
202,203,-6.0321760179397685,2517.7834646701813
203,204,-6.0321760179397685,2569.667470216751
204,205,-6.0321760179397685,2579.5095467567444
205,206,-6.0321760179397685,2587.55868768692
206,207,-6.0321760179397685,2607.1858196258545
207,208,-6.0321760179397685,2614.6585035324097
208,209,-6.0321760179397685,2622.098903656006
209,210,-6.0321760179397685,2638.7026295661926
210,211,-6.0321760179397685,2645.9824278354645
211,212,-6.0321760179397685,2652.8561277389526
212,213,-6.0321760179397685,2667.1128499507904
213,214,-6.0321760179397685,2673.855751514435
214,215,-6.0321760179397685,2691.7405166625977
215,216,-6.0321760179397685,2715.038521051407
216,217,-6.0321760179397685,2722.6257281303406
217,218,-6.0321760179397685,2727.5611469745636
218,219,-6.0321760179397685,2737.05437541008
219,220,-6.0321760179397685,2760.7382917404175
220,221,-6.0321760179397685,2769.9511246681213
221,222,-6.0321760179397685,2799.3660583496094
222,223,-6.0321760179397685,2830.8632276058197
223,224,-6.0321760179397685,2840.654111146927
224,225,-6.0321760179397685,2853.5298528671265
225,226,-6.0321760179397685,2861.7819163799286
226,227,-6.0321760179397685,2869.8056347370148
227,228,-6.0321760179397685,2880.8570470809937
228,229,-6.0321760179397685,2890.190642595291
229,230,-6.0321760179397685,2899.3917324543
230,231,-6.0321760179397685,2934.316961288452
231,232,-6.0321760179397685,2946.413475751877
232,233,-6.0321760179397685,2962.083028793335
233,234,-5.3721780045786085,2997.5121455192566
234,235,-5.3721780045786085,3005.8504436016083
235,236,-5.3721780045786085,3021.997175216675
236,237,-5.3721780045786085,3034.879289627075
237,238,-5.3721780045786085,3044.3363466262817
238,239,-5.258612962854087,3053.936389684677
239,240,-5.016399877213305,3062.671982526779
240,241,-5.016399877213305,3075.544456720352
241,242,-5.016399877213305,3086.8021454811096
242,243,-5.016399877213305,3126.7687969207764
243,244,-5.016399877213305,3150.8650527000427
244,245,-5.016399877213305,3164.9115421772003
245,246,-4.824296147205244,3184.51363158226
246,247,-4.824296147205244,3192.35506606102
247,248,-4.824296147205244,3208.4993658065796
248,249,-4.824296147205244,3220.0708363056183
249,250,-4.824296147205244,3229.287627696991
250,251,-4.824296147205244,3258.5298047065735
251,252,-4.824296147205244,3265.3835666179657
252,253,-4.824296147205244,3274.7380023002625
253,254,-4.824296147205244,3287.3593606948853
254,255,-4.824296147205244,3295.7920792102814
255,256,-4.824296147205244,3303.545884370804
256,257,-4.824296147205244,3309.162917613983
257,258,-4.824296147205244,3326.539397716522
258,259,-4.824296147205244,3335.8343942165375
259,260,-4.824296147205244,3344.885492324829
260,261,-4.824296147205244,3352.579864025116
261,262,-4.824296147205244,3365.97443652153
262,263,-4.824296147205244,3384.8559124469757
263,264,-4.824296147205244,3393.2141082286835
264,265,-4.824296147205244,3401.614457845688
265,266,-4.824296147205244,3413.1141436100006
266,267,-4.824296147205244,3421.8051319122314
267,268,-4.824296147205244,3431.054676055908
268,269,-4.824296147205244,3443.5796551704407
269,270,-4.824296147205244,3452.524642467499
270,271,-4.824296147205244,3460.659682035446
271,272,-4.824296147205244,3470.1775074005127
272,273,-4.824296147205244,3518.8273770809174
273,274,-4.824296147205244,3528.4490201473236
274,275,-4.824296147205244,3538.6621747016907
275,276,-4.824296147205244,3563.3763999938965
276,277,-4.824296147205244,3571.745409011841
277,278,-4.824296147205244,3584.963520526886
278,279,-4.824296147205244,3595.3660955429077
279,280,-4.824296147205244,3605.530389547348
280,281,-4.824296147205244,3615.242999315262
281,282,-4.824296147205244,3625.7778623104095
282,283,-4.824296147205244,3636.184945821762
283,284,-4.824296147205244,3645.481466293335
284,285,-4.824296147205244,3655.823696374893
285,286,-4.1576960486718715,3670.699053287506
286,287,-4.1576960486718715,3682.8453488349915
287,288,-4.1576960486718715,3694.409626722336
288,289,-4.1576960486718715,3705.614759206772
289,290,-4.1576960486718715,3720.236558675766
290,291,-4.1576960486718715,3733.8616709709167
291,292,-4.1576960486718715,3744.333444595337
292,293,-4.1576960486718715,3757.5924797058105
293,294,-4.1576960486718715,3785.7936487197876
294,295,-3.6472551027154836,3825.040617465973
295,296,-3.6472551027154836,3839.2091131210327
