,x,y,t
0,1,-106.32771867286229,0.0008940696716308594
1,2,-89.09172303260722,0.0009398460388183594
2,3,-32.40443109843022,0.0009796619415283203
3,4,-32.40443109843022,0.0010170936584472656
4,5,-32.40443109843022,0.001054525375366211
5,6,-32.40443109843022,0.0010919570922851562
6,7,-32.40443109843022,0.0011286735534667969
7,8,-32.40443109843022,0.0011653900146484375
8,9,-32.40443109843022,0.001201629638671875
9,10,-32.40443109843022,0.0012388229370117188
10,11,-32.40443109843022,0.0012755393981933594
11,12,-32.40443109843022,0.001312255859375
12,13,-32.40443109843022,0.001348257064819336
13,14,-32.40443109843022,0.001384735107421875
14,15,-32.40443109843022,0.0014209747314453125
15,16,-32.40443109843022,0.0014569759368896484
16,17,-32.40443109843022,0.001493215560913086
17,18,-32.40443109843022,0.0015299320220947266
18,19,-32.40443109843022,0.001566171646118164
19,20,-32.40443109843022,0.0016024112701416016
20,21,-32.40443109843022,193.41428637504578
21,22,-32.40443109843022,193.41436624526978
22,23,-32.40443109843022,193.41443157196045
23,24,-28.308342682017464,193.4144947528839
24,25,-28.308342682017464,193.41455698013306
25,26,-28.308342682017464,193.4146203994751
26,27,-16.327446647970067,193.4146876335144
27,28,-16.327446647970067,193.41475200653076
28,29,-16.327446647970067,193.4148142337799
29,30,-16.327446647970067,193.41487669944763
30,31,-16.327446647970067,368.1923797130585
31,32,-10.661422655253588,368.1924457550049
32,33,-10.661422655253588,368.1925015449524
33,34,-10.661422655253588,368.19255471229553
34,35,-10.661422655253588,368.1926066875458
35,36,-10.661422655253588,368.1926589012146
36,37,-10.661422655253588,368.1927137374878
37,38,-10.661422655253588,368.19276547431946
38,39,-10.661422655253588,368.1928172111511
39,40,-10.661422655253588,368.19286942481995
40,41,-9.99623695531381,566.8409075737
41,42,-9.99623695531381,566.8409738540649
42,43,-9.99623695531381,566.8410284519196
43,44,-9.99623695531381,566.8410811424255
44,45,-9.99623695531381,566.8411331176758
45,46,-9.610853120214541,566.8411853313446
46,47,-9.015849665721177,566.8412394523621
47,48,-9.015849665721177,566.8412916660309
48,49,-9.015849665721177,566.8413424491882
49,50,-9.015849665721177,566.841394662857
50,51,-9.015849665721177,762.8888924121857
51,52,-7.277686361582113,762.8889575004578
52,53,-7.277686361582113,762.8890116214752
53,54,-7.277686361582113,762.8890635967255
54,55,-7.277686361582113,762.8891150951385
55,56,-7.277686361582113,762.8891670703888
56,57,-7.277686361582113,762.8892183303833
57,58,-7.277686361582113,762.8892698287964
58,59,-7.277686361582113,762.8893208503723
59,60,-7.277686361582113,762.8893749713898
60,61,-7.277686361582113,978.296707868576
61,62,-7.277686361582113,978.2967729568481
62,63,-7.277686361582113,978.2968270778656
63,64,-7.277686361582113,978.296879529953
64,65,-7.277686361582113,978.2969310283661
65,66,-7.277686361582113,978.2969830036163
66,67,-7.277686361582113,978.2970356941223
67,68,-7.277686361582113,978.2970876693726
68,69,-7.277686361582113,978.2971394062042
69,70,-7.277686361582113,978.2971935272217
70,71,-7.277686361582113,1193.0080335140228
71,72,-7.277686361582113,1193.0080976486206
72,73,-7.277686361582113,1193.0081520080566
73,74,-7.277686361582113,1193.0082068443298
74,75,-7.277686361582113,1193.0082595348358
75,76,-6.416803371900892,1193.0083148479462
76,77,-4.5308724418689845,1193.0083692073822
77,78,-4.5308724418689845,1193.0084209442139
78,79,-4.5308724418689845,1193.0084717273712
79,80,-4.5308724418689845,1193.0085241794586
80,81,-4.5308724418689845,1410.7398681640625
