,x,y,t
0,1,-85.0014246448641,0.00847482681274414
1,2,-85.0014246448641,0.008683204650878906
2,3,-85.0014246448641,0.008881568908691406
3,4,-50.917562524048165,0.010352134704589844
4,5,-50.917562524048165,0.010544300079345703
5,6,-50.917562524048165,0.010738849639892578
6,7,-50.917562524048165,0.06423497200012207
7,8,-50.917562524048165,0.06441783905029297
8,9,-50.917562524048165,0.06459689140319824
9,10,-50.917562524048165,0.06604456901550293
10,11,-50.917562524048165,0.06622457504272461
11,12,-50.917562524048165,0.06640172004699707
12,13,-50.917562524048165,146.25404024124146
13,14,-50.917562524048165,146.32747626304626
14,15,-50.917562524048165,146.32985520362854
15,16,-50.917562524048165,146.4162998199463
16,17,-45.10216502092375,146.41864323616028
17,18,-14.549518403162628,146.4722707271576
18,19,-14.549518403162628,146.47478652000427
19,20,-14.549518403162628,146.47723865509033
20,21,-14.549518403162628,146.50776934623718
21,22,-14.549518403162628,146.5101661682129
22,23,-14.549518403162628,292.4151232242584
23,24,-14.549518403162628,292.46859788894653
24,25,-14.549518403162628,292.4709858894348
25,26,-14.549518403162628,292.5005123615265
26,27,-14.549518403162628,292.50286984443665
27,28,-14.549518403162628,292.50526118278503
28,29,-14.549518403162628,292.5717179775238
29,30,-14.549518403162628,292.57405138015747
30,31,-14.549518403162628,292.57644414901733
31,32,-14.549518403162628,292.57882475852966
32,33,-14.549518403162628,451.9062786102295
33,34,-14.549518403162628,451.9094958305359
34,35,-14.549518403162628,451.91263246536255
35,36,-14.549518403162628,451.9470121860504
36,37,-14.549518403162628,451.9501943588257
37,38,-14.549518403162628,451.9533140659332
38,39,-14.549518403162628,451.95641922950745
39,40,-14.549518403162628,451.96248054504395
40,41,-14.549518403162628,451.9655740261078
41,42,-14.549518403162628,451.9686782360077
42,43,-14.549518403162628,614.2163112163544
43,44,-14.549518403162628,614.218775510788
44,45,-14.549518403162628,614.2732381820679
45,46,-14.549518403162628,614.3357014656067
46,47,-14.549518403162628,614.338032245636
47,48,-14.549518403162628,614.3844094276428
48,49,-14.549518403162628,614.3867797851562
49,50,-14.549518403162628,614.4332287311554
50,51,-14.549518403162628,614.5419030189514
51,52,-14.549518403162628,614.5883235931396
52,53,-14.549518403162628,822.420850276947
53,54,-14.549518403162628,822.4231970310211
54,55,-14.549518403162628,822.4777092933655
55,56,-14.549518403162628,822.5322737693787
56,57,-14.549518403162628,822.5351254940033
57,58,-14.549518403162628,822.5895676612854
58,59,-14.549518403162628,822.6439967155457
59,60,-14.549518403162628,822.6463589668274
60,61,-14.549518403162628,822.7007312774658
61,62,-14.549518403162628,822.7030727863312
62,63,-14.549518403162628,1029.0970137119293
63,64,-12.132223817614321,1029.1515493392944
64,65,-12.132223817614321,1029.1539714336395
65,66,-12.132223817614321,1029.204409122467
66,67,-12.132223817614321,1029.2068274021149
67,68,-12.132223817614321,1029.2572739124298
68,69,-12.132223817614321,1029.303832769394
69,70,-12.132223817614321,1029.3062717914581
70,71,-12.132223817614321,1029.3526802062988
71,72,-12.132223817614321,1029.3551127910614
72,73,-12.132223817614321,1234.688176393509
73,74,-12.132223817614321,1234.6907081604004
74,75,-11.83104655059226,1234.7294399738312
75,76,-11.83104655059226,1234.7319028377533
76,77,-11.83104655059226,1234.7343294620514
77,78,-11.83104655059226,1234.7762925624847
78,79,-11.83104655059226,1234.7790071964264
79,80,-11.83104655059226,1234.7895548343658
80,81,-11.83104655059226,1234.7920331954956
81,82,-11.83104655059226,1234.7944843769073
82,83,-11.83104655059226,1437.4323287010193
83,84,-11.83104655059226,1437.4348628520966
84,85,-11.83104655059226,1437.517397403717
85,86,-11.83104655059226,1437.588151216507
86,87,-11.83104655059226,1437.5906314849854
87,88,-11.83104655059226,1437.6651294231415
88,89,-11.83104655059226,1437.739637851715
89,90,-11.83104655059226,1437.7420678138733
90,91,-11.83104655059226,1437.8167879581451
91,92,-11.83104655059226,1437.8836925029755
92,93,-11.83104655059226,1638.3763642311096
93,94,-11.83104655059226,1638.378897190094
94,95,-11.83104655059226,1638.4294457435608
95,96,-11.83104655059226,1638.4839651584625
96,97,-11.83104655059226,1638.4864122867584
97,98,-11.83104655059226,1638.541292667389
98,99,-11.83104655059226,1638.5961284637451
99,100,-11.83104655059226,1638.5985050201416
100,101,-11.83104655059226,1638.6979322433472
101,102,-11.83104655059226,1638.7526714801788
102,103,-11.83104655059226,1828.0281908512115
103,104,-11.83104655059226,1828.030713558197
104,105,-11.83104655059226,1828.0891387462616
105,106,-11.83104655059226,1828.1356325149536
106,107,-11.83104655059226,1828.138011932373
107,108,-11.83104655059226,1828.1924855709076
108,109,-11.83104655059226,1828.1948623657227
109,110,-11.83104655059226,1828.2493019104004
110,111,-11.83104655059226,1828.3037374019623
111,112,-11.83104655059226,1828.3061308860779
112,113,-11.83104655059226,2020.7282388210297
113,114,-11.83104655059226,2020.730600118637
114,115,-11.83104655059226,2020.7889189720154
115,116,-10.927210548901769,2020.791222333908
116,117,-10.927210548901769,2020.850153207779
117,118,-10.927210548901769,2020.9087324142456
118,119,-10.927210548901769,2020.9110102653503
