,x,y,t,n_samples
0,1,-8.172133964876855,0.016843557357788086,11.333333333333334
1,2,-8.172133964876855,0.03343653678894043,25.333333333333336
2,3,-8.172133964876855,0.05888652801513672,47.0
3,4,-8.172133964876855,0.07586455345153809,61.333333333333336
4,5,-8.172133964876855,0.09196186065673828,75.0
5,6,-6.403899084890612,0.10031652450561523,81.0
6,7,-2.255948913856877,0.13988399505615234,101.66666666666667
7,8,-2.255948913856877,0.17057394981384277,113.66666666666667
8,9,-2.255948913856877,0.2066183090209961,130.33333333333334
9,10,-2.255948913856877,0.2355184555053711,141.0
10,11,-2.255948913856877,0.2678046226501465,153.66666666666666
11,12,-2.255948913856877,0.2897179126739502,161.66666666666666
12,13,-2.255948913856877,0.3214726448059082,174.0
13,14,3.132939375003076,0.3577876091003418,191.33333333333334
14,15,3.132939375003076,0.38915491104125977,204.33333333333334
15,16,3.132939375003076,0.4608004093170166,232.66666666666669
16,17,81.49528250224282,0.6228039264678955,299.6666666666667
17,18,81.49528250224282,0.6512959003448486,309.6666666666667
18,19,81.49528250224282,0.6834003925323486,323.0
19,20,81.49528250224282,0.7118644714355469,333.0
20,21,81.49528250224282,87.54001593589783,344.0
21,22,81.49528250224282,87.55628228187561,352.0
22,23,81.49528250224282,87.57221841812134,360.0
23,24,81.49528250224282,87.59067749977112,370.0
24,25,81.49528250224282,87.61064505577087,380.0
25,26,285.0178070815824,88.12164330482483,567.3333333333334
26,27,285.0178070815824,88.13094711303711,574.6666666666667
27,28,285.0178070815824,88.13977408409119,581.6666666666667
28,29,285.0178070815824,88.14861941337585,588.6666666666667
29,30,285.0178070815824,88.15722632408142,595.6666666666667
30,31,285.0178070815824,174.93677377700806,608.6666666666667
31,32,285.0178070815824,174.9455122947693,616.3333333333334
32,33,285.0178070815824,174.97843050956726,623.6666666666667
33,34,285.0178070815824,175.0091998577118,638.0000000000001
34,35,285.0178070815824,175.01646280288696,644.3333333333335
35,36,285.0178070815824,175.36790919303894,776.0000000000001
36,37,285.0178070815824,175.42004919052124,794.0000000000001
37,38,285.0178070815824,175.42815852165222,801.0000000000001
38,39,285.0178070815824,175.45201587677002,808.0000000000001
39,40,285.0178070815824,175.4599952697754,815.0000000000001
40,41,285.0178070815824,272.0158882141113,822.0000000000001
41,42,285.0178070815824,272.0487542152405,829.0000000000001
42,43,285.0178070815824,272.0573220252991,836.0000000000001
43,44,285.0178070815824,272.09050726890564,843.3333333333335
44,45,285.0178070815824,272.10889887809753,850.3333333333335
45,46,285.0178070815824,272.1180634498596,857.6666666666669
46,47,285.0178070815824,272.1435356140137,865.0000000000002
47,48,285.0178070815824,272.2561638355255,892.3333333333336
48,49,285.0178070815824,272.28090500831604,899.3333333333336
49,50,285.0178070815824,272.28953409194946,906.3333333333336
