,x,y,t
0,1,-52.38397643638161,0.6153988838195801
1,2,-41.20734023384751,1.2239000797271729
2,3,-41.20734023384751,1.8323473930358887
3,4,-41.20734023384751,2.4357125759124756
4,5,-31.74393067242962,3.0415592193603516
5,6,-13.697794798443029,3.6500091552734375
6,7,-13.697794798443029,4.25731635093689
7,8,-13.697794798443029,4.8417017459869385
8,9,-13.697794798443029,5.45060396194458
9,10,-13.697794798443029,6.058687448501587
10,11,-13.697794798443029,19.41810154914856
11,12,-13.697794798443029,27.699542999267578
12,13,-13.697794798443029,39.20001983642578
13,14,-13.697794798443029,50.606444358825684
14,15,-13.697794798443029,61.63759899139404
15,16,-13.697794798443029,70.61328125
16,17,-13.697794798443029,80.03332567214966
17,18,-13.697794798443029,90.91266250610352
18,19,-13.697794798443029,101.0502552986145
19,20,-2.0922857801869914,111.00328278541565
20,21,-2.0922857801869914,122.41718602180481
21,22,-2.0922857801869914,132.51493525505066
22,23,-2.0922857801869914,144.01629400253296
23,24,-2.0922857801869914,154.39410400390625
24,25,-2.0922857801869914,164.6737961769104
25,26,-2.0922857801869914,177.06792402267456
26,27,-2.0922857801869914,190.92154455184937
27,28,-2.0922857801869914,200.79018020629883
28,29,-2.0922857801869914,212.32061886787415
29,30,-2.0922857801869914,223.56235122680664
30,31,-2.0922857801869914,234.0567033290863
31,32,-2.0922857801869914,243.22342705726624
32,33,-2.0922857801869914,253.0016086101532
33,34,-2.0922857801869914,265.03780817985535
34,35,-2.0922857801869914,277.7966949939728
35,36,-2.0922857801869914,287.84425473213196
36,37,-2.0922857801869914,300.15059876441956
37,38,-2.0922857801869914,310.6506931781769
38,39,-2.0922857801869914,324.00192856788635
39,40,-2.0922857801869914,336.9022569656372
40,41,-2.0922857801869914,349.261994600296
41,42,-2.0922857801869914,362.10071754455566
42,43,-2.0922857801869914,375.8242332935333
43,44,-2.0922857801869914,391.4959373474121
44,45,-2.0922857801869914,403.6577343940735
45,46,-2.0922857801869914,416.0980689525604
46,47,-2.0922857801869914,431.5020728111267
47,48,-2.0922857801869914,442.73975253105164
48,49,-2.0922857801869914,454.2398588657379
49,50,-2.0922857801869914,466.6321933269501
50,51,-2.0922857801869914,477.6050844192505
51,52,-2.0922857801869914,491.4761772155762
52,53,-2.0922857801869914,504.2821116447449
53,54,-2.0922857801869914,517.7026424407959
54,55,-2.0922857801869914,528.920567035675
55,56,-2.0922857801869914,543.2982661724091
56,57,-2.0922857801869914,557.4217841625214
57,58,-2.0922857801869914,574.3568015098572
58,59,-2.0922857801869914,587.9403541088104
59,60,-2.0922857801869914,602.4223537445068
60,61,-2.0922857801869914,618.1510891914368
61,62,-2.0922857801869914,634.5635762214661
62,63,-2.0922857801869914,646.0053894519806
63,64,-2.0922857801869914,658.7958652973175
64,65,-2.0922857801869914,670.899941444397
65,66,-2.0922857801869914,681.2929465770721
66,67,-2.0922857801869914,696.5877168178558
67,68,-2.0922857801869914,711.3166613578796
68,69,-2.0922857801869914,723.9150755405426
69,70,-2.0922857801869914,736.767820596695
70,71,-2.0922857801869914,752.1896915435791
71,72,-2.0922857801869914,768.782303571701
72,73,-2.0922857801869914,781.6077148914337
73,74,-2.0922857801869914,798.9753615856171
74,75,-2.0922857801869914,814.1759676933289
75,76,-2.0922857801869914,829.3016691207886
76,77,-2.0922857801869914,842.2500455379486
77,78,-2.0922857801869914,855.6385333538055
78,79,-2.0922857801869914,869.9168374538422
79,80,-2.0922857801869914,883.1224479675293
80,81,-2.0922857801869914,896.2051725387573
81,82,-2.0922857801869914,913.9846248626709
82,83,-2.0922857801869914,928.6610429286957
83,84,-2.0922857801869914,942.3677794933319
84,85,-2.0922857801869914,959.307516336441
85,86,-2.0922857801869914,974.0205430984497
86,87,-2.0922857801869914,991.4815299510956
87,88,-2.0922857801869914,1007.8258428573608
88,89,-2.0922857801869914,1024.7537536621094
89,90,-2.0922857801869914,1039.8289217948914
90,91,-2.0922857801869914,1056.778246641159
91,92,-2.0922857801869914,1075.8651263713837
92,93,-2.0922857801869914,1090.1096632480621
93,94,-2.0922857801869914,1102.801666021347
94,95,-2.0922857801869914,1122.0324816703796
95,96,-2.0922857801869914,1137.6751425266266
96,97,-2.0922857801869914,1156.6467933654785
97,98,-2.0922857801869914,1173.8978753089905
98,99,-2.0922857801869914,1190.2043867111206
99,100,-2.0922857801869914,1205.1139996051788
