,t,precision,n
0,12,0.012,500
1,24,0.012048192771084338,249
2,36,0.01195219123505976,251
3,48,0.023622047244094488,127
4,60,0.016260162601626018,123
5,72,0.0,124
6,84,0.014705882352941176,68
7,96,0.0,64
8,108,0.012,500
9,120,0.012096774193548387,248
10,132,0.011904761904761904,252
11,144,0.023809523809523808,126
12,156,0.0,126
13,168,0.0,63
14,180,0.008064516129032258,124
15,192,0.016129032258064516,124
16,204,0.012,500
17,216,0.024,250
18,228,0.0,250
19,240,0.0,125
20,252,0.0,125
21,264,0.0,62
22,276,0.032,125
23,288,0.012,500
24,300,0.0,250
25,312,0.024,250
26,324,0.0,125
27,336,0.0,125
28,348,0.0,63
29,360,0.0,62
30,372,0.048,125
31,384,0.012,500
32,396,0.0,250
33,408,0.024,250
34,420,0.0,125
35,432,0.0,125
36,444,0.0,62
37,456,0.0,62
38,468,0.012,500
39,480,0.024,250
40,492,0.0,250
41,504,0.0,125
42,516,0.0,125
43,528,0.0,62
44,540,0.0,63
45,552,0.04,125
46,564,0.012,500
47,576,0.024,250
48,588,0.0,250
