,t,n
0,12,500
1,24,245
2,36,255
3,48,130
4,60,125
5,72,65
6,84,65
7,96,32
8,108,33
9,120,500
10,132,249
11,144,251
12,156,125
13,168,126
14,180,63
15,192,63
16,204,62
17,216,500
18,228,250
19,240,250
20,252,125
21,264,125
22,276,62
23,288,63
24,300,31
25,312,62
26,324,500
27,336,250
28,348,250
29,360,125
30,372,125
31,384,63
32,396,62
33,408,125
34,420,500
35,432,250
36,444,250
37,456,125
38,468,125
39,480,62
40,492,125
41,504,500
42,516,250
43,528,250
44,540,125
45,552,125
46,564,63
47,576,125
48,588,62
