,t,precision,n
0,12,0.1,100
1,24,0.10204081632653061,49
2,36,0.09803921568627451,51
3,48,0.038461538461538464,26
4,60,0.08333333333333333,24
5,72,0.16,25
6,84,0.07692307692307693,13
7,96,0.1,100
8,108,0.06,50
9,120,0.14,50
10,132,0.12,25
11,144,0.04,25
12,156,0.0,25
13,168,0.24,25
14,180,0.1,100
15,192,0.18,50
16,204,0.02,50
17,216,0.0,25
18,228,0.24,25
19,240,0.04,25
20,252,0.0,13
21,264,0.12,25
22,276,0.1,100
23,288,0.18,50
24,300,0.02,50
25,312,0.04,25
26,324,0.08,25
27,336,0.0,25
28,348,0.28,25
29,360,0.1,100
30,372,0.18,50
31,384,0.02,50
32,396,0.04,25
33,408,0.08,25
34,420,0.0,25
35,432,0.28,25
36,444,0.1,100
37,456,0.18,50
38,468,0.02,50
39,480,0.04,25
40,492,0.28,25
41,504,0.0,25
42,516,0.08,25
43,528,0.1,100
44,540,0.18,50
45,552,0.02,50
46,564,0.0,25
47,576,0.28,25
48,588,0.04,25
