,t,precision,n
0,12,0.02,300
1,24,0.0070921985815602835,141
2,36,0.031446540880503145,159
3,48,0.04878048780487805,82
4,60,0.012987012987012988,77
5,72,0.024390243902439025,41
6,84,0.014925373134328358,67
7,96,0.02,300
8,108,0.03333333333333333,150
9,120,0.006666666666666667,150
10,132,0.05333333333333334,75
11,144,0.0,75
12,156,0.013333333333333334,75
13,168,0.013333333333333334,75
14,180,0.02,300
15,192,0.02666666666666667,150
16,204,0.013333333333333334,150
17,216,0.0,75
18,228,0.02666666666666667,75
19,240,0.02666666666666667,75
20,252,0.0,37
21,264,0.02666666666666667,75
22,276,0.02,300
23,288,0.006666666666666667,150
24,300,0.03333333333333333,150
25,312,0.013333333333333334,75
26,324,0.0,75
27,336,0.02702702702702703,37
28,348,0.06666666666666667,75
29,360,0.02,300
30,372,0.03333333333333333,150
31,384,0.006666666666666667,150
32,396,0.0,75
33,408,0.013333333333333334,75
34,420,0.0,38
35,432,0.0,38
36,444,0.06666666666666667,75
37,456,0.02,300
38,468,0.03333333333333333,150
39,480,0.006666666666666667,150
40,492,0.013333333333333334,75
41,504,0.0,75
42,516,0.0,37
43,528,0.0,38
44,540,0.013333333333333334,75
45,552,0.02,300
46,564,0.03333333333333333,150
47,576,0.006666666666666667,150
48,588,0.0,75
