,t,recall,n
0,12,1.0,300
1,24,0.3333333333333333,159
2,36,0.6666666666666666,141
3,48,0.3333333333333333,82
4,60,0.0,77
5,72,0.16666666666666666,41
6,84,0.16666666666666666,41
7,96,0.0,20
8,108,0.0,21
9,120,1.0,300
10,132,0.6666666666666666,150
11,144,0.3333333333333333,150
12,156,0.16666666666666666,75
13,168,0.16666666666666666,75
14,180,0.0,37
15,192,0.16666666666666666,38
16,204,0.16666666666666666,19
17,216,0.0,19
18,228,0.16666666666666666,37
19,240,1.0,300
20,252,0.6666666666666666,150
21,264,0.3333333333333333,150
22,276,0.16666666666666666,75
23,288,0.16666666666666666,75
24,300,0.0,37
25,312,0.0,38
26,324,0.16666666666666666,38
27,336,0.0,19
28,348,1.0,300
29,360,0.3333333333333333,150
30,372,0.6666666666666666,150
31,384,0.16666666666666666,75
32,396,0.16666666666666666,75
33,408,0.0,37
34,420,0.16666666666666666,37
35,432,1.0,300
36,444,0.3333333333333333,150
37,456,0.6666666666666666,150
38,468,0.16666666666666666,75
39,480,0.16666666666666666,75
40,492,0.16666666666666666,37
41,504,0.0,38
42,516,0.0,38
43,528,0.0,19
44,540,1.0,300
45,552,0.6666666666666666,150
46,564,0.3333333333333333,150
47,576,0.0,75
48,588,0.3333333333333333,75
